"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","37,000","37,900","38,320","36,500","216,15K","-2,37%"
"22.10.2020","37,900","36,020","38,300","35,700","610,21K","5,28%"
"21.10.2020","36,000","36,840","37,040","36,000","234,91K","-2,17%"
"20.10.2020","36,800","36,980","37,220","36,520","133,29K","-0,27%"
"19.10.2020","36,900","37,020","37,700","36,800","158,97K","-0,32%"
"16.10.2020","37,020","36,800","37,520","36,660","113,07K","0,60%"
"15.10.2020","36,800","37,840","37,840","36,700","171,46K","-2,59%"
"14.10.2020","37,780","37,880","38,620","37,000","284,49K","-0,21%"
"13.10.2020","37,860","39,200","39,300","37,400","231,87K","-3,32%"
"12.10.2020","39,160","39,960","39,960","38,500","271,12K","-1,11%"
"09.10.2020","39,600","38,420","40,100","38,420","763,18K","3,34%"
"08.10.2020","38,320","37,740","39,480","37,680","368,01K","2,19%"
"07.10.2020","37,500","38,260","38,420","37,020","287,48K","-1,83%"
"06.10.2020","38,200","39,760","40,240","37,780","750,82K","-3,29%"
"05.10.2020","39,500","36,140","39,500","36,000","1,25M","9,84%"
"02.10.2020","35,960","35,100","36,220","34,200","308,45K","2,45%"
"01.10.2020","35,100","36,000","36,000","34,220","247,58K","-2,23%"
"30.09.2020","35,900","35,720","35,940","35,360","234,48K","0,50%"
"29.09.2020","35,720","36,200","36,440","35,620","327,89K","-1,22%"
"28.09.2020","36,160","36,100","36,920","35,520","636,86K","0,28%"
"25.09.2020","36,060","36,500","37,420","36,040","489,97K","-1,21%"
"24.09.2020","36,500","37,500","37,500","36,360","331,17K","-2,87%"
"23.09.2020","37,580","38,060","38,400","37,060","494,93K","-0,79%"
"22.09.2020","37,880","36,500","39,080","35,840","1,67M","3,78%"
"21.09.2020","36,500","35,800","38,040","35,020","1,22M","1,96%"
"18.09.2020","35,800","36,840","37,520","35,520","536,42K","-2,82%"
"17.09.2020","36,840","37,800","37,980","36,840","399,62K","-2,54%"
"16.09.2020","37,800","38,400","38,540","37,500","478,43K","-0,53%"
"15.09.2020","38,000","37,800","38,500","37,660","777,70K","1,06%"
"14.09.2020","37,600","37,600","38,280","36,820","1,02M","0,43%"
"11.09.2020","37,440","36,300","38,080","35,060","1,08M","3,43%"
"10.09.2020","36,200","38,060","38,320","35,060","1,66M","-4,84%"
"09.09.2020","38,040","38,240","41,160","36,340","3,17M","0,26%"
"08.09.2020","37,940","35,000","37,940","34,920","2,27M","9,97%"
"07.09.2020","34,500","31,560","34,540","31,560","1,41M","9,87%"
"04.09.2020","31,400","32,440","32,500","31,200","390,22K","-3,27%"
"03.09.2020","32,460","31,640","33,500","31,640","899,33K","2,72%"
"02.09.2020","31,600","33,000","33,360","31,380","796,80K","-3,54%"
"01.09.2020","32,760","30,380","32,760","30,200","1,00M","7,76%"
"31.08.2020","30,400","29,000","30,560","28,320","665,72K","4,83%"
"28.08.2020","29,000","28,200","29,100","27,800","358,54K","2,84%"
"27.08.2020","28,200","27,760","28,200","27,480","201,11K","3,52%"
"26.08.2020","27,240","26,480","27,500","25,860","269,31K","3,26%"
"25.08.2020","26,380","26,020","26,940","25,620","215,50K","1,46%"
"24.08.2020","26,000","24,400","26,140","23,820","298,88K","6,56%"
"21.08.2020","24,400","22,960","24,440","22,940","224,66K","4,72%"
"20.08.2020","23,300","21,900","23,480","21,800","264,64K","6,39%"
"19.08.2020","21,900","22,000","22,100","21,620","152,63K","-0,45%"
"18.08.2020","22,000","22,020","22,020","21,600","91,76K","0,00%"
"17.08.2020","22,000","22,060","22,660","21,600","146,07K","-0,36%"
"14.08.2020","22,080","21,980","22,900","21,040","117,01K","-0,99%"
"13.08.2020","22,300","24,000","24,360","21,860","1,12M","-5,67%"
"12.08.2020","23,640","21,580","23,640","21,300","1,61M","9,95%"
"11.08.2020","21,500","21,440","22,000","21,140","356,77K","1,22%"
"10.08.2020","21,240","21,200","22,400","21,040","421,74K","-3,01%"
"07.08.2020","21,900","21,000","22,040","19,000","670,57K","3,99%"
"06.08.2020","21,060","23,980","24,360","21,020","768,59K","-9,77%"
"05.08.2020","23,340","24,660","24,900","22,400","634,89K","-5,35%"
"04.08.2020","24,660","23,020","24,740","23,020","1,47M","7,12%"
"30.07.2020","23,020","23,040","23,320","22,200","427,49K","-0,09%"
"29.07.2020","23,040","21,020","23,040","20,400","1,73M","9,92%"
"28.07.2020","20,960","21,520","22,040","20,500","701,15K","-2,51%"
"27.07.2020","21,500","20,600","21,940","20,600","899,17K","4,88%"
"24.07.2020","20,500","19,000","20,760","18,900","1,00M","6,27%"
"23.07.2020","19,290","19,380","19,700","19,080","314,26K","-0,82%"
"22.07.2020","19,450","18,780","19,610","18,350","880,32K","4,96%"
"21.07.2020","18,530","18,990","19,750","18,050","1,11M","-1,91%"
"20.07.2020","18,890","17,400","18,890","16,970","1,68M","9,95%"
"17.07.2020","17,180","16,750","17,300","16,590","333,97K","4,12%"
"16.07.2020","16,500","17,160","17,600","16,500","264,31K","-3,57%"
"14.07.2020","17,110","17,180","17,200","16,950","238,49K","-0,52%"
"13.07.2020","17,200","16,850","17,400","16,820","567,71K","3,61%"
"10.07.2020","16,600","16,280","16,600","15,680","528,75K","1,90%"
"09.07.2020","16,290","16,700","16,710","15,870","679,10K","-1,27%"
"08.07.2020","16,500","15,860","16,500","15,630","1,03M","4,10%"
"07.07.2020","15,850","16,170","16,390","15,530","764,70K","-0,69%"
"06.07.2020","15,960","15,450","15,980","15,450","1,07M","5,77%"
"03.07.2020","15,090","14,550","15,100","14,540","1,30M","5,16%"
"02.07.2020","14,350","14,000","14,460","13,990","531,62K","2,57%"
"01.07.2020","13,990","14,110","14,140","13,770","268,84K","-0,50%"
"30.06.2020","14,060","14,110","14,340","14,060","281,00K","0,00%"
"29.06.2020","14,060","14,050","14,250","14,020","256,73K","0,29%"
"26.06.2020","14,020","13,900","14,050","13,900","134,55K","1,59%"
"25.06.2020","13,800","14,100","14,100","13,790","210,58K","-1,78%"
"24.06.2020","14,050","14,410","14,430","14,050","144,52K","-1,75%"
"23.06.2020","14,300","13,820","14,300","13,810","384,28K","3,47%"
"22.06.2020","13,820","14,010","14,070","13,770","250,93K","-0,58%"
"19.06.2020","13,900","14,260","14,390","13,740","384,66K","-2,25%"
"18.06.2020","14,220","14,490","14,610","14,210","198,26K","-1,59%"
"17.06.2020","14,450","14,800","14,810","14,450","266,82K","-1,23%"
"16.06.2020","14,630","14,550","14,930","14,420","490,46K","1,53%"
"15.06.2020","14,410","14,800","14,850","14,360","381,94K","-2,83%"
