"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","18,06","18,34","18,38","17,78","31,20M","-1,53%"
"22.10.2020","18,34","18,09","18,49","18,00","53,04M","1,49%"
"21.10.2020","18,07","18,25","18,27","18,07","19,43M","-0,61%"
"20.10.2020","18,18","18,12","18,37","18,08","49,28M","0,44%"
"19.10.2020","18,10","18,09","18,19","18,07","21,77M","0,28%"
"16.10.2020","18,05","18,20","18,24","17,98","24,78M","-0,72%"
"15.10.2020","18,18","18,09","18,30","17,96","36,56M","0,55%"
"14.10.2020","18,08","18,07","18,18","17,98","27,87M","0,28%"
"13.10.2020","18,03","18,10","18,35","17,94","39,05M","-0,11%"
"12.10.2020","18,05","18,16","18,29","18,05","26,25M","-0,33%"
"09.10.2020","18,11","18,14","18,27","17,97","39,18M","0,06%"
"08.10.2020","18,10","18,62","18,76","18,01","60,76M","-2,48%"
"07.10.2020","18,56","18,45","18,72","18,42","50,74M","0,11%"
"06.10.2020","18,54","18,76","18,87","18,54","32,64M","-0,86%"
"05.10.2020","18,70","18,53","18,96","18,49","47,18M","1,63%"
"02.10.2020","18,40","18,45","18,88","18,25","69,61M","-0,70%"
"01.10.2020","18,53","19,32","19,86","18,53","91,13M","-4,09%"
"30.09.2020","19,32","18,46","19,80","18,11","228,38M","3,82%"
"29.09.2020","18,61","17,49","18,62","17,36","96,57M","6,59%"
"28.09.2020","17,46","17,24","17,70","17,24","55,28M","1,39%"
"25.09.2020","17,22","17,10","17,44","17,01","73,52M","1,47%"
"24.09.2020","16,97","16,27","16,99","16,24","53,58M","3,73%"
