"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","18,24","18,33","18,41","17,72","1,40M","-0,27%"
"22.10.2020","18,29","18,37","18,60","18,16","2,43M","0,00%"
"21.10.2020","18,29","18,05","18,49","18,05","2,16M","1,39%"
"20.10.2020","18,04","18,15","18,30","18,00","1,13M","-0,72%"
"19.10.2020","18,17","18,48","18,50","18,14","1,97M","-1,14%"
"16.10.2020","18,38","18,26","18,54","18,18","2,02M","0,82%"
"15.10.2020","18,23","18,31","18,60","17,90","2,17M","-0,44%"
"14.10.2020","18,31","18,23","18,73","18,14","1,62M","-0,49%"
"13.10.2020","18,40","18,63","19,00","18,20","3,48M","-1,08%"
"12.10.2020","18,60","17,52","19,21","17,51","6,64M","6,47%"
"09.10.2020","17,47","17,66","17,77","17,25","1,84M","-0,57%"
"08.10.2020","17,57","17,90","18,25","17,50","2,49M","-0,45%"
"07.10.2020","17,65","17,02","18,25","16,96","7,86M","3,70%"
"06.10.2020","17,02","17,26","17,32","16,93","1,38M","-1,05%"
"05.10.2020","17,20","17,17","17,36","17,10","1,42M","0,76%"
"02.10.2020","17,07","16,69","17,13","16,55","1,30M","1,67%"
"01.10.2020","16,79","17,05","17,09","16,66","1,40M","-1,18%"
"30.09.2020","16,99","16,86","17,23","16,82","1,85M","1,31%"
"29.09.2020","16,77","17,30","17,50","16,65","2,81M","-2,67%"
"28.09.2020","17,23","16,79","17,23","16,54","2,65M","2,68%"
"25.09.2020","16,78","16,54","16,92","16,49","1,93M","2,01%"
"24.09.2020","16,45","16,15","16,53","16,13","1,37M","1,92%"
"23.09.2020","16,14","16,20","16,43","16,14","1,15M","0,06%"
"22.09.2020","16,13","16,40","16,67","16,03","2,49M","-1,65%"
"21.09.2020","16,40","17,14","17,34","16,28","3,73M","-3,53%"
"18.09.2020","17,00","16,70","17,32","16,65","5,80M","2,10%"
"17.09.2020","16,65","16,80","17,06","16,63","1,51M","-1,19%"
"16.09.2020","16,85","17,10","17,32","16,61","2,04M","-0,65%"
"15.09.2020","16,96","16,56","16,96","16,49","1,28M","2,48%"
"14.09.2020","16,55","16,58","16,77","16,50","840,52K","0,36%"
"11.09.2020","16,49","16,60","16,61","16,40","600,00K","0,18%"
"10.09.2020","16,46","16,65","16,77","16,31","1,39M","-0,24%"
"09.09.2020","16,50","16,53","17,31","16,33","3,39M","0,00%"
"08.09.2020","16,50","16,53","16,85","16,20","3,55M","0,00%"
"07.09.2020","16,50","15,81","16,68","15,79","2,70M","4,50%"
"04.09.2020","15,79","15,87","16,04","15,74","1,10M","-0,69%"
"03.09.2020","15,90","16,10","16,77","15,88","4,51M","-1,24%"
"02.09.2020","16,10","16,00","16,42","15,87","2,03M","0,63%"
"01.09.2020","16,00","15,80","16,07","15,59","989,10K","1,27%"
"31.08.2020","15,80","16,17","16,25","15,75","970,24K","-2,41%"
"28.08.2020","16,19","16,75","16,81","15,93","2,33M","1,06%"
"27.08.2020","16,02","16,12","16,50","16,01","1,17M","-0,50%"
