"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","103,500","103,100","104,900","101,000","213,28K","1,77%"
"22.10.2020","101,700","100,300","106,400","100,300","541,26K","0,30%"
"21.10.2020","101,400","101,000","101,800","99,950","75,55K","0,40%"
"20.10.2020","101,000","101,700","102,200","100,100","117,25K","-0,59%"
"19.10.2020","101,600","101,800","103,000","99,400","179,01K","2,37%"
"16.10.2020","99,250","100,400","100,400","98,850","58,95K","-0,55%"
"15.10.2020","99,800","102,200","103,500","99,500","110,19K","-2,25%"
"14.10.2020","102,100","99,850","102,200","98,500","126,27K","2,77%"
"13.10.2020","99,350","98,700","99,600","97,500","95,53K","0,61%"
"12.10.2020","98,750","98,000","99,750","97,050","149,11K","1,13%"
"09.10.2020","97,650","97,100","99,600","95,000","178,52K","0,67%"
"08.10.2020","97,000","97,650","97,900","96,150","89,48K","-0,56%"
"07.10.2020","97,550","97,500","99,900","96,650","179,27K","0,88%"
"06.10.2020","96,700","98,000","102,300","96,700","298,62K","-1,83%"
"05.10.2020","98,500","96,050","98,800","95,000","274,99K","3,25%"
"02.10.2020","95,400","94,850","96,100","93,800","114,58K","0,58%"
"01.10.2020","94,850","98,500","99,000","94,200","237,38K","-3,21%"
"30.09.2020","98,000","101,000","101,100","97,450","285,62K","-2,97%"
"29.09.2020","101,000","96,500","104,000","96,500","707,51K","4,72%"
"28.09.2020","96,450","94,750","96,450","94,150","201,85K","2,39%"
"25.09.2020","94,200","92,900","94,450","92,050","91,66K","2,06%"
"24.09.2020","92,300","93,200","94,750","91,950","150,31K","-0,91%"
"23.09.2020","93,150","92,000","94,350","91,800","130,52K","2,03%"
"22.09.2020","91,300","92,300","93,600","90,550","95,59K","-0,81%"
"21.09.2020","92,050","97,000","98,400","92,050","252,77K","-3,11%"
"18.09.2020","95,000","92,950","96,850","92,350","210,98K","2,48%"
"17.09.2020","92,700","93,300","93,950","91,550","112,02K","0,49%"
"16.09.2020","92,250","90,500","93,000","90,100","132,72K","2,33%"
"15.09.2020","90,150","89,800","93,350","89,000","239,05K","0,73%"
"14.09.2020","89,500","89,300","91,100","89,300","174,44K","-0,39%"
"11.09.2020","89,850","89,500","89,900","89,000","41,46K","0,17%"
"10.09.2020","89,700","89,500","90,100","89,000","60,90K","0,22%"
"09.09.2020","89,500","89,300","90,700","88,900","96,87K","0,22%"
"08.09.2020","89,300","90,500","91,000","89,050","75,03K","-1,33%"
"07.09.2020","90,500","88,900","90,550","88,900","55,12K","1,86%"
"04.09.2020","88,850","90,000","90,000","87,350","185,63K","-1,93%"
"03.09.2020","90,600","91,450","94,000","90,000","95,77K","-2,42%"
"02.09.2020","92,850","90,750","92,850","90,150","100,62K","2,31%"
"01.09.2020","90,750","93,050","93,400","89,500","77,26K","-2,47%"
"31.08.2020","93,050","92,300","94,850","91,550","143,32K","2,25%"
"28.08.2020","91,000","89,950","92,500","88,100","137,81K","1,39%"
"27.08.2020","89,750","90,000","91,800","88,450","153,64K","1,99%"
"26.08.2020","88,000","87,800","89,000","87,300","74,65K","0,34%"
"25.08.2020","87,700","86,450","89,000","86,450","129,14K","1,56%"
"24.08.2020","86,350","85,500","86,800","85,350","49,08K","0,23%"
"21.08.2020","86,150","87,000","87,200","85,350","94,63K","-0,98%"
"20.08.2020","87,000","87,500","87,500","84,750","65,14K","0,35%"
"19.08.2020","86,700","85,800","86,700","85,150","93,92K","1,05%"
"18.08.2020","85,800","82,950","87,500","82,950","130,18K","3,50%"
"17.08.2020","82,900","84,000","84,450","82,500","56,91K","-0,90%"
"14.08.2020","83,650","85,350","86,300","83,000","72,45K","-1,99%"
"13.08.2020","85,350","86,000","92,500","84,250","379,42K","-0,35%"
"12.08.2020","85,650","85,700","86,400","83,800","116,39K","0,18%"
"11.08.2020","85,500","84,350","87,100","83,300","255,56K","2,15%"
"10.08.2020","83,700","84,000","84,600","82,000","185,48K","-1,47%"
"07.08.2020","84,950","82,200","85,250","74,900","295,36K","3,66%"
"06.08.2020","81,950","89,500","91,700","79,900","496,55K","-5,42%"
"05.08.2020","86,650","86,000","87,350","82,650","214,32K","1,29%"
"04.08.2020","85,550","90,150","91,950","83,050","140,75K","-5,10%"
"30.07.2020","90,150","89,500","91,000","88,000","51,81K","0,73%"
"29.07.2020","89,500","88,500","90,850","84,100","159,57K","1,65%"
"28.07.2020","88,050","94,900","95,250","88,050","195,21K","-6,53%"
"27.07.2020","94,200","92,700","97,000","92,550","124,52K","2,06%"
"24.07.2020","92,300","91,350","93,500","91,300","43,55K","-0,54%"
"23.07.2020","92,800","91,900","93,500","91,850","119,63K","1,48%"
"22.07.2020","91,450","92,300","93,900","90,600","114,95K","-0,76%"
"21.07.2020","92,150","92,000","96,000","90,500","195,36K","1,54%"
"20.07.2020","90,750","91,900","92,700","89,700","127,97K","-1,25%"
"17.07.2020","91,900","90,500","92,850","89,500","164,13K","2,74%"
"16.07.2020","89,450","90,000","90,950","89,100","106,18K","0,51%"
"14.07.2020","89,000","93,900","94,100","88,200","340,38K","-5,32%"
"13.07.2020","94,000","92,450","96,850","90,250","462,67K","6,76%"
"10.07.2020","88,050","87,300","91,250","83,100","285,42K","0,86%"
"09.07.2020","87,300","88,000","90,600","86,600","412,54K","0,34%"
"08.07.2020","87,000","84,900","92,000","84,050","467,31K","2,90%"
"07.07.2020","84,550","83,500","86,100","81,450","230,55K","2,42%"
