"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","22,68","22,20","23,56","22,16","9,16M","2,44%"
"22.10.2020","22,14","22,16","22,92","21,96","3,68M","0,36%"
"21.10.2020","22,06","22,76","23,16","22,00","3,02M","-2,30%"
"20.10.2020","22,58","21,58","22,82","21,48","4,92M","4,63%"
"19.10.2020","21,58","22,26","22,44","21,52","2,56M","-1,82%"
"16.10.2020","21,98","21,00","22,52","20,94","6,92M","5,17%"
"15.10.2020","20,90","21,36","21,76","20,68","1,89M","-1,88%"
"14.10.2020","21,30","21,98","21,98","21,22","1,86M","-2,20%"
"13.10.2020","21,78","21,54","22,06","21,26","2,63M","1,30%"
"12.10.2020","21,50","21,08","22,20","21,02","3,77M","2,58%"
"09.10.2020","20,96","21,52","22,00","20,90","3,13M","-2,87%"
"08.10.2020","21,58","22,90","23,20","21,58","4,45M","-4,93%"
"07.10.2020","22,70","22,26","23,38","22,06","5,69M","1,98%"
"06.10.2020","22,26","21,00","22,44","20,48","7,59M","6,71%"
"05.10.2020","20,86","20,82","21,38","20,66","4,24M","1,76%"
"02.10.2020","20,50","19,70","21,20","19,35","8,12M","3,43%"
"01.10.2020","19,82","19,45","21,34","18,79","12,54M","2,16%"
"30.09.2020","19,40","18,15","19,66","18,13","9,45M","7,66%"
"29.09.2020","18,02","17,44","18,35","17,36","6,42M","3,92%"
"28.09.2020","17,34","16,91","17,52","16,87","5,51M","2,73%"
"25.09.2020","16,88","16,90","17,21","16,85","2,60M","0,24%"
"24.09.2020","16,84","17,30","17,70","16,84","4,37M","-3,22%"
"23.09.2020","17,40","16,63","17,60","16,45","6,79M","5,33%"
"22.09.2020","16,52","16,21","16,75","16,21","4,83M","2,29%"
"21.09.2020","16,15","16,07","16,59","16,00","4,95M","0,75%"
"18.09.2020","16,03","15,92","16,19","15,88","2,40M","1,14%"
"17.09.2020","15,85","15,70","15,99","15,60","1,46M","0,96%"
"16.09.2020","15,70","15,97","16,01","15,68","1,18M","-1,26%"
"15.09.2020","15,90","15,98","16,21","15,74","2,27M","0,00%"
"14.09.2020","15,90","16,01","16,17","15,86","1,38M","-0,31%"
"11.09.2020","15,95","16,26","16,33","15,91","1,48M","-1,60%"
"10.09.2020","16,21","16,27","16,63","16,14","3,68M","-0,12%"
"09.09.2020","16,23","16,23","16,79","16,18","4,84M","0,25%"
"08.09.2020","16,19","16,07","16,37","15,89","4,67M","1,38%"
"07.09.2020","15,97","15,79","16,04","15,57","1,96M","3,03%"
"04.09.2020","15,50","15,39","15,77","15,29","2,11M","0,19%"
"03.09.2020","15,47","15,86","16,09","15,47","2,43M","-2,27%"
"02.09.2020","15,83","16,16","16,39","15,83","4,07M","-1,31%"
"01.09.2020","16,04","15,65","16,09","15,30","5,96M","2,69%"
"31.08.2020","15,62","15,19","15,91","15,03","4,98M","2,83%"
"28.08.2020","15,19","15,36","15,55","15,13","1,51M","-0,59%"
"27.08.2020","15,28","15,39","15,75","15,12","2,60M","-0,33%"
"26.08.2020","15,33","14,66","15,94","14,65","7,79M","3,16%"
"25.08.2020","14,86","15,25","15,39","14,56","1,66M","-2,11%"
"24.08.2020","15,18","15,10","15,49","15,03","2,19M","1,13%"
"21.08.2020","15,01","15,74","15,86","15,00","2,08M","-3,22%"
"20.08.2020","15,51","15,34","15,77","15,26","2,66M","1,11%"
"19.08.2020","15,34","15,19","16,09","15,19","5,42M","1,59%"
"18.08.2020","15,10","15,17","15,76","14,94","5,53M","-1,50%"
"17.08.2020","15,33","16,45","17,13","15,33","8,81M","-3,46%"
"14.08.2020","15,88","15,12","15,88","15,08","5,50M","9,97%"
"13.08.2020","14,44","15,02","15,19","14,44","1,74M","-3,48%"
"12.08.2020","14,96","14,97","15,42","14,46","2,71M","0,27%"
"11.08.2020","14,92","14,83","15,20","14,79","1,76M","1,57%"
"10.08.2020","14,69","14,38","14,97","13,69","1,68M","1,80%"
"07.08.2020","14,43","13,03","14,43","12,10","2,75M","7,53%"
"06.08.2020","13,42","14,80","14,99","13,41","2,57M","-9,93%"
"05.08.2020","14,90","15,25","15,30","14,50","1,85M","-1,72%"
"04.08.2020","15,16","16,85","17,43","14,97","4,23M","-8,84%"
"30.07.2020","16,63","16,65","16,74","16,45","647,70K","-0,12%"
"29.07.2020","16,65","16,76","16,99","15,99","2,14M","-0,48%"
"28.07.2020","16,73","18,10","18,15","16,64","3,46M","-7,42%"
"27.07.2020","18,07","18,04","18,50","18,01","3,71M","1,35%"
"24.07.2020","17,83","18,07","18,29","17,83","3,44M","-2,14%"
"23.07.2020","18,22","18,38","18,95","18,05","9,25M","-0,87%"
"22.07.2020","18,38","17,01","18,56","16,84","8,99M","8,89%"
"21.07.2020","16,88","17,26","17,64","16,40","3,16M","-1,80%"
"20.07.2020","17,19","17,82","18,59","17,10","6,66M","-3,05%"
"17.07.2020","17,73","16,61","18,15","16,61","13,44M","7,45%"
"16.07.2020","16,50","16,07","16,52","16,07","3,11M","3,71%"
"14.07.2020","15,91","15,57","16,25","15,42","3,20M","2,18%"
"13.07.2020","15,57","15,08","15,68","15,05","2,12M","4,71%"
"10.07.2020","14,87","15,30","15,35","14,57","2,79M","-3,75%"
"09.07.2020","15,45","16,35","16,54","15,45","3,72M","-4,22%"
"08.07.2020","16,13","15,69","16,66","15,51","6,68M","3,13%"
"07.07.2020","15,64","16,09","16,16","15,30","3,66M","-2,13%"
"06.07.2020","15,98","15,82","16,36","15,82","4,81M","1,85%"
"03.07.2020","15,69","14,88","15,70","14,75","10,73M","5,59%"
"02.07.2020","14,86","14,72","15,15","14,71","5,43M","3,19%"
"01.07.2020","14,40","14,56","14,62","14,32","2,31M","-0,07%"
"30.06.2020","14,41","14,40","14,66","14,39","2,58M","0,42%"
"29.06.2020","14,35","14,20","14,47","14,12","2,12M","1,27%"
"26.06.2020","14,17","14,24","14,34","14,10","1,29M","0,21%"
"25.06.2020","14,14","14,32","14,57","14,11","3,13M","-0,35%"
"24.06.2020","14,19","14,13","14,48","14,06","2,08M","0,07%"
"23.06.2020","14,18","14,30","14,39","14,10","1,48M","-0,35%"
"22.06.2020","14,23","14,40","14,56","14,22","1,42M","-0,56%"
"19.06.2020","14,31","14,70","14,77","14,29","2,56M","-1,92%"
"18.06.2020","14,59","14,46","15,08","14,46","6,36M","1,25%"
"17.06.2020","14,41","14,25","14,65","14,24","3,08M","1,55%"
"16.06.2020","14,19","14,01","14,32","13,96","3,15M","3,05%"
"15.06.2020","13,77","14,00","14,16","13,71","1,66M","-2,41%"
"12.06.2020","14,11","14,04","14,24","13,78","1,73M","-0,35%"
"11.06.2020","14,16","14,09","14,34","14,02","2,38M","0,07%"
"10.06.2020","14,15","14,09","14,31","14,00","1,42M","1,07%"
