"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","18,83","18,50","19,06","18,36","2,81M","1,78%"
"22.10.2020","18,50","17,90","18,78","17,90","1,78M","3,35%"
"21.10.2020","17,90","18,55","18,90","17,90","1,87M","-2,93%"
"20.10.2020","18,44","18,65","19,09","18,10","2,37M","-0,97%"
"19.10.2020","18,62","17,72","18,92","17,66","3,49M","5,20%"
"16.10.2020","17,70","17,02","17,79","17,00","4,26M","4,86%"
"15.10.2020","16,88","17,05","17,20","16,54","1,73M","-0,71%"
"14.10.2020","17,00","17,33","17,57","16,91","1,80M","-1,90%"
"13.10.2020","17,33","16,81","17,50","16,09","4,04M","3,59%"
"12.10.2020","16,73","16,32","17,15","16,15","3,00M","4,50%"
"09.10.2020","16,01","15,44","16,19","15,44","2,92M","4,30%"
"08.10.2020","15,35","15,05","15,49","14,93","1,89M","2,47%"
"07.10.2020","14,98","15,02","15,25","14,90","1,11M","-0,20%"
"06.10.2020","15,01","14,85","15,30","14,81","1,91M","1,49%"
"05.10.2020","14,79","14,75","14,85","14,67","513,08K","0,61%"
"02.10.2020","14,70","14,65","14,91","14,54","432,95K","0,00%"
"01.10.2020","14,70","14,92","15,02","14,67","751,99K","-1,21%"
"30.09.2020","14,88","15,23","15,24","14,87","1,10M","-1,00%"
"29.09.2020","15,03","15,00","15,27","14,68","2,46M","0,74%"
"28.09.2020","14,92","14,66","14,99","14,50","1,38M","2,12%"
"25.09.2020","14,61","14,51","14,78","14,45","798,13K","0,90%"
"24.09.2020","14,48","14,17","14,57","14,09","836,32K","1,83%"
"23.09.2020","14,22","14,22","14,40","14,20","665,11K","0,21%"
"22.09.2020","14,19","14,45","14,58","14,05","936,17K","-1,53%"
"21.09.2020","14,41","14,94","15,06","14,30","1,02M","-3,48%"
"18.09.2020","14,93","15,04","15,34","14,84","2,13M","-0,13%"
"17.09.2020","14,95","15,32","15,62","14,95","4,05M","-2,29%"
"16.09.2020","15,30","15,23","15,32","15,06","1,15M","1,53%"
"15.09.2020","15,07","15,25","15,33","14,74","861,85K","-0,99%"
"14.09.2020","15,22","15,12","15,60","15,09","2,22M","1,33%"
"11.09.2020","15,02","14,90","15,18","14,89","1,40M","1,28%"
"10.09.2020","14,83","15,09","15,31","14,79","1,95M","-1,53%"
"09.09.2020","15,06","15,21","15,46","15,03","1,70M","-1,05%"
"08.09.2020","15,22","15,30","15,75","14,85","4,51M","-2,12%"
"07.09.2020","15,55","14,18","15,55","14,09","4,55M","9,97%"
"04.09.2020","14,14","14,28","14,31","14,00","537,93K","-0,28%"
"03.09.2020","14,18","14,41","14,66","14,09","1,62M","-0,49%"
"02.09.2020","14,25","14,80","14,85","14,16","1,27M","-2,66%"
"01.09.2020","14,64","13,83","14,76","13,68","1,94M","6,32%"
"31.08.2020","13,77","14,44","14,46","13,72","595,56K","-2,82%"
"28.08.2020","14,17","13,99","14,62","13,99","1,55M","2,46%"
"27.08.2020","13,83","13,66","14,14","13,54","875,84K","2,07%"
"26.08.2020","13,55","13,34","13,83","13,34","517,83K","-0,95%"
"25.08.2020","13,68","13,80","14,06","13,50","442,38K","-0,51%"
"24.08.2020","13,75","14,09","14,19","13,63","498,95K","-2,48%"
"21.08.2020","14,10","14,50","14,50","14,06","579,85K","-0,14%"
"20.08.2020","14,12","14,35","14,44","14,01","516,83K","-1,60%"
"19.08.2020","14,35","14,40","14,70","14,13","972,08K","1,63%"
"18.08.2020","14,12","13,79","15,08","13,70","1,95M","2,62%"
"17.08.2020","13,76","14,13","14,18","13,74","526,76K","-2,62%"
"14.08.2020","14,13","14,31","14,39","14,01","360,26K","-1,26%"
"13.08.2020","14,31","14,80","15,04","14,31","901,08K","-2,65%"
"12.08.2020","14,70","15,15","15,20","14,41","613,47K","-2,00%"
"11.08.2020","15,00","14,45","15,11","14,25","962,69K","4,68%"
"10.08.2020","14,33","14,09","14,44","13,45","819,48K","1,70%"
"07.08.2020","14,09","13,40","14,10","12,16","739,33K","4,29%"
"06.08.2020","13,51","15,10","15,29","13,51","858,04K","-9,99%"
"05.08.2020","15,01","15,29","15,50","14,61","564,81K","-0,53%"
"04.08.2020","15,09","16,53","16,53","14,42","973,21K","-5,75%"
"30.07.2020","16,01","15,72","16,38","15,58","374,94K","2,17%"
"29.07.2020","15,67","16,02","16,08","15,25","793,96K","-2,37%"
