"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","8,59","8,85","8,85","8,44","1,52M","-2,39%"
"22.10.2020","8,80","8,51","8,81","8,40","2,79M","3,41%"
"21.10.2020","8,51","8,60","8,65","8,50","1,16M","-0,82%"
"20.10.2020","8,58","8,71","8,72","8,50","1,22M","-1,49%"
"19.10.2020","8,71","8,75","8,78","8,66","1,19M","-0,23%"
"16.10.2020","8,73","8,80","8,81","8,67","918,14K","-0,80%"
"15.10.2020","8,80","8,75","8,90","8,61","1,46M","0,57%"
"14.10.2020","8,75","8,88","8,90","8,70","1,24M","-1,46%"
"13.10.2020","8,88","9,15","9,18","8,70","2,18M","-2,52%"
"12.10.2020","9,11","8,65","9,20","8,64","3,14M","5,56%"
"09.10.2020","8,63","8,54","8,64","8,45","1,19M","1,05%"
"08.10.2020","8,54","8,68","8,69","8,51","1,11M","-1,61%"
"07.10.2020","8,68","8,62","8,79","8,37","1,71M","0,70%"
"06.10.2020","8,62","8,78","8,80","8,60","1,42M","-1,49%"
"05.10.2020","8,75","8,65","8,85","8,62","1,55M","2,22%"
"02.10.2020","8,56","8,53","8,56","8,27","1,00M","-0,12%"
"01.10.2020","8,57","8,94","8,96","8,50","2,26M","-4,03%"
"30.09.2020","8,93","8,96","9,10","8,75","6,29M","0,90%"
"29.09.2020","8,85","9,00","9,17","8,62","11,52M","-1,01%"
"28.09.2020","8,94","8,72","8,95","8,56","11,65M","5,55%"
"25.09.2020","8,47","8,58","8,75","8,44","6,81M","-0,35%"
"24.09.2020","8,50","8,24","8,64","8,20","6,89M","3,16%"
"23.09.2020","8,24","8,19","8,34","8,16","3,35M","1,23%"
"22.09.2020","8,14","8,25","8,35","8,11","3,60M","-0,85%"
"21.09.2020","8,21","8,37","8,62","8,14","7,50M","-1,68%"
"18.09.2020","8,35","8,38","8,49","8,28","5,61M","0,00%"
"17.09.2020","8,35","8,23","8,40","8,15","6,38M","2,33%"
"16.09.2020","8,16","8,20","8,23","8,09","2,36M","0,25%"
"15.09.2020","8,14","8,20","8,25","7,93","2,67M","0,37%"
"14.09.2020","8,11","8,05","8,25","8,05","3,45M","0,50%"
"11.09.2020","8,07","8,15","8,17","8,03","2,57M","-0,25%"
"10.09.2020","8,09","8,30","8,36","8,05","5,39M","-1,34%"
"09.09.2020","8,20","8,22","8,91","8,17","14,99M","0,00%"
"08.09.2020","8,20","8,09","8,30","7,93","7,76M","2,50%"
"07.09.2020","8,00","7,81","8,08","7,81","6,35M","2,56%"
"04.09.2020","7,80","7,81","8,08","7,74","3,77M","0,13%"
"03.09.2020","7,79","7,75","8,33","7,65","13,88M","1,17%"
"02.09.2020","7,70","7,52","7,98","7,47","9,16M","2,94%"
"01.09.2020","7,48","7,50","7,59","7,37","2,35M","0,67%"
"31.08.2020","7,43","7,55","7,78","7,40","4,13M","-1,33%"
"28.08.2020","7,53","7,50","7,83","7,46","6,83M","1,62%"
"27.08.2020","7,41","7,44","7,53","7,37","1,71M","0,54%"
"26.08.2020","7,37","7,37","7,50","7,31","1,30M","0,00%"
"25.08.2020","7,37","7,56","7,64","7,30","1,73M","-1,99%"
"24.08.2020","7,52","7,63","7,67","7,46","1,44M","-0,79%"
"21.08.2020","7,58","7,71","7,74","7,52","1,67M","-1,04%"
"20.08.2020","7,66","7,69","7,78","7,50","1,78M","-0,39%"
"19.08.2020","7,69","7,85","7,85","7,65","1,54M","-0,39%"
"18.08.2020","7,72","7,78","7,98","7,40","3,02M","-1,03%"
"17.08.2020","7,80","7,72","8,05","7,51","3,64M","1,04%"
"14.08.2020","7,72","7,85","7,93","7,60","1,52M","-1,66%"
"13.08.2020","7,85","8,07","8,22","7,85","5,28M","-2,36%"
"12.08.2020","8,04","8,34","8,48","8,04","8,30M","-2,66%"
"11.08.2020","8,26","7,58","8,30","7,58","9,66M","8,97%"
"10.08.2020","7,58","7,00","7,95","7,00","8,61M","2,29%"
"07.08.2020","7,41","7,60","7,70","6,75","7,15M","-1,20%"
"06.08.2020","7,50","7,41","8,00","6,70","6,55M","1,35%"
"05.08.2020","7,40","7,50","7,59","7,20","2,79M","-1,20%"
"04.08.2020","7,49","7,95","8,00","7,21","3,27M","-4,95%"
"30.07.2020","7,88","7,90","8,10","7,74","1,79M","1,16%"
"29.07.2020","7,79","7,99","8,06","7,65","3,02M","-2,50%"
"28.07.2020","7,99","8,33","8,35","7,92","3,41M","-4,08%"
"27.07.2020","8,33","8,46","8,50","8,32","2,41M","-0,83%"
"24.07.2020","8,40","8,35","8,50","8,33","2,01M","-0,94%"
"23.07.2020","8,48","8,51","8,59","8,42","2,45M","-0,12%"
"22.07.2020","8,49","8,66","8,73","8,35","4,41M","-1,16%"
"21.07.2020","8,59","8,94","8,98","8,50","4,41M","-2,39%"
"20.07.2020","8,80","8,72","8,94","8,59","6,67M","1,15%"
"17.07.2020","8,70","8,58","8,78","8,51","7,38M","1,52%"
"16.07.2020","8,57","8,65","8,71","8,56","3,03M","0,23%"
"14.07.2020","8,55","8,70","8,88","8,50","5,03M","-1,72%"
"13.07.2020","8,70","8,40","8,83","8,30","6,29M","5,97%"
"10.07.2020","8,21","8,42","8,42","7,88","5,34M","-2,61%"
"09.07.2020","8,43","9,15","9,24","8,31","6,29M","-6,33%"
"08.07.2020","9,00","9,03","9,25","8,90","8,10M","1,47%"
"07.07.2020","8,87","9,24","9,30","8,78","6,98M","-3,80%"
"06.07.2020","9,22","9,43","9,55","9,09","11,45M","-0,75%"
"03.07.2020","9,29","8,58","9,34","8,58","19,74M","9,04%"
"02.07.2020","8,52","8,23","8,57","8,21","11,81M","4,16%"
"01.07.2020","8,18","8,22","8,30","8,10","6,78M","-0,12%"
"30.06.2020","8,19","8,04","8,42","8,02","11,62M","2,25%"
"29.06.2020","8,01","8,13","8,18","8,00","7,01M","-0,87%"
"26.06.2020","8,08","8,30","8,38","8,02","16,53M","-1,82%"
"25.06.2020","8,23","8,71","8,79","8,02","14,03M","-6,48%"
"24.06.2020","8,80","8,69","8,94","8,62","3,00M","1,85%"
"23.06.2020","8,64","8,64","9,06","8,58","5,90M","0,93%"
"22.06.2020","8,56","8,72","8,75","8,50","1,82M","-1,83%"
"19.06.2020","8,72","8,85","8,94","8,69","1,98M","-1,47%"
"18.06.2020","8,85","9,03","9,08","8,83","2,26M","-1,23%"
"17.06.2020","8,96","9,03","9,12","8,91","3,37M","-0,11%"
"16.06.2020","8,97","8,75","9,15","8,70","5,70M","3,82%"
"15.06.2020","8,64","8,80","8,82","8,57","5,08M","-2,59%"
"12.06.2020","8,87","8,85","9,08","8,75","2,14M","-0,89%"
"11.06.2020","8,95","9,01","9,17","8,95","1,93M","-0,78%"
"10.06.2020","9,02","9,08","9,24","9,01","2,33M","0,22%"
"09.06.2020","9,00","9,15","9,23","8,96","2,14M","-1,53%"
"08.06.2020","9,14","9,35","9,49","9,10","2,62M","-1,51%"
"05.06.2020","9,28","9,45","9,55","9,24","4,79M","-1,59%"
"04.06.2020","9,43","9,67","9,86","9,38","4,87M","-0,84%"
"03.06.2020","9,51","9,30","9,77","9,24","4,48M","2,48%"
"02.06.2020","9,28","9,50","9,50","9,26","1,34M","-1,59%"
"01.06.2020","9,43","9,74","9,80","9,40","2,04M","1,95%"
"29.05.2020","9,25","9,48","9,50","9,15","2,05M","-2,53%"
"28.05.2020","9,49","9,87","9,93","9,13","5,43M","-3,65%"
"27.05.2020","9,85","10,09","10,09","9,84","1,68M","0,51%"
"22.05.2020","9,80","10,05","10,09","9,78","2,05M","-1,11%"
"21.05.2020","9,91","9,77","10,15","9,75","3,47M","1,02%"
"20.05.2020","9,81","9,98","10,03","9,80","1,81M","-1,41%"
"18.05.2020","9,95","10,20","10,21","9,94","2,36M","-0,70%"
"15.05.2020","10,02","10,24","10,33","10,02","2,51M","-0,69%"
"14.05.2020","10,09","9,87","10,46","9,85","9,27M","2,02%"
"13.05.2020","9,89","9,92","10,12","9,81","3,21M","-0,10%"
"12.05.2020","9,90","9,91","10,15","9,70","4,18M","-0,10%"
"11.05.2020","9,91","10,14","10,28","9,90","3,17M","-1,29%"
"08.05.2020","10,04","10,38","10,63","9,91","4,38M","-2,33%"
"07.05.2020","10,28","10,11","10,67","9,77","7,25M","1,78%"
"06.05.2020","10,10","10,24","10,86","9,93","12,86M","-1,94%"
"05.05.2020","10,30","9,69","10,30","9,60","6,77M","9,93%"
"04.05.2020","9,37","9,97","9,97","9,37","2,80M","-6,86%"
"30.04.2020","10,06","10,76","10,88","9,87","13,23M","-6,42%"
"29.04.2020","10,75","10,04","10,95","9,77","19,58M","7,93%"
"28.04.2020","9,96","10,50","10,60","9,84","6,52M","-4,05%"
"27.04.2020","10,38","10,19","10,73","10,19","8,07M","3,59%"
"24.04.2020","10,02","9,69","10,41","9,62","14,88M","3,41%"
"22.04.2020","9,69","9,25","10,03","9,07","17,78M","6,25%"
"21.04.2020","9,12","8,90","9,36","8,65","10,46M","2,47%"
"20.04.2020","8,90","8,70","9,12","8,59","8,32M","3,25%"
"17.04.2020","8,62","8,51","8,78","8,25","5,72M","5,38%"
"16.04.2020","8,18","8,06","8,44","7,80","4,56M","1,49%"
"15.04.2020","8,06","8,65","8,73","7,79","3,83M","-6,82%"
"14.04.2020","8,65","8,99","9,07","8,65","4,16M","-1,82%"
"13.04.2020","8,81","8,81","9,20","8,70","4,84M","-1,78%"
"10.04.2020","8,97","8,69","9,41","8,33","16,04M","1,70%"
"09.04.2020","8,82","8,20","8,82","8,09","17,90M","9,98%"
"08.04.2020","8,02","8,05","8,19","7,65","3,13M","0,00%"
"07.04.2020","8,02","8,30","8,53","7,94","6,46M","-1,23%"
"06.04.2020","8,12","8,02","8,23","7,89","4,27M","4,10%"
"03.04.2020","7,80","7,93","8,18","7,68","3,12M","-0,89%"
"02.04.2020","7,87","8,02","8,24","7,25","5,19M","-0,88%"
"01.04.2020","7,94","7,90","8,50","7,90","5,40M","-4,11%"
"31.03.2020","8,28","8,10","8,56","7,75","7,99M","5,08%"
"30.03.2020","7,88","8,09","8,49","7,67","5,78M","-2,60%"
"27.03.2020","8,09","8,16","8,16","7,40","7,44M","9,03%"
"26.03.2020","7,42","7,15","7,42","7,15","1,17M","9,93%"
"25.03.2020","6,75","6,75","6,75","6,44","3,61M","9,93%"
"24.03.2020","6,14","6,06","6,14","6,03","545,28K","9,84%"
"23.03.2020","5,59","4,87","5,59","4,83","3,57M","9,82%"
"20.03.2020","5,09","4,77","5,09","4,68","4,01M","9,94%"
"19.03.2020","4,63","4,34","4,77","4,28","3,35M","3,81%"
"18.03.2020","4,46","4,15","4,70","4,15","2,14M","-1,98%"
"17.03.2020","4,55","4,60","5,02","4,38","2,88M","-6,38%"
"16.03.2020","4,86","4,98","5,09","4,86","1,46M","-10,00%"
"13.03.2020","5,40","5,00","5,52","4,74","2,71M","6,51%"
"12.03.2020","5,07","5,99","5,99","5,07","2,41M","-19,91%"
"11.03.2020","6,33","6,66","6,93","6,11","2,04M","-9,44%"
"10.03.2020","6,99","7,88","8,00","6,88","1,76M","-7,05%"
"09.03.2020","7,52","8,25","8,34","7,40","1,63M","-12,15%"
"06.03.2020","8,56","8,97","9,05","8,56","929,86K","-4,68%"
"05.03.2020","8,98","8,99","9,23","8,76","1,97M","3,46%"
"04.03.2020","8,68","9,07","9,10","8,68","1,14M","-4,30%"
"03.03.2020","9,07","8,62","9,09","8,62","1,39M","6,08%"
"02.03.2020","8,55","8,43","8,67","8,25","1,10M","5,95%"
"28.02.2020","8,07","6,90","8,25","6,86","1,44M","-5,28%"
"27.02.2020","8,52","8,89","9,09","8,50","1,32M","-5,96%"
"26.02.2020","9,06","9,10","9,34","8,92","1,37M","-2,16%"
"25.02.2020","9,26","9,30","9,66","8,98","2,20M","1,76%"
"24.02.2020","9,10","8,90","9,19","8,51","1,70M","0,55%"
"21.02.2020","9,05","8,40","9,23","7,99","4,88M","6,72%"
"20.02.2020","8,48","9,50","9,57","8,18","3,16M","-10,36%"
"19.02.2020","9,46","10,05","10,07","9,45","2,03M","-5,49%"
"18.02.2020","10,01","10,32","10,33","9,94","1,59M","-2,91%"
"17.02.2020","10,31","10,67","10,67","10,30","1,47M","-0,96%"
"14.02.2020","10,41","10,65","10,70","10,25","2,11M","-1,51%"
"13.02.2020","10,57","10,20","11,13","10,12","6,95M","3,63%"
"12.02.2020","10,20","10,37","10,40","10,10","1,91M","-1,35%"
"11.02.2020","10,34","10,32","10,46","10,01","1,84M","1,57%"
"10.02.2020","10,18","10,71","10,90","9,71","2,43M","-4,86%"
"07.02.2020","10,70","10,92","11,03","10,61","1,54M","-2,10%"
"06.02.2020","10,93","11,42","11,48","10,84","2,30M","-1,53%"
