"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","6,100","6,220","6,270","6,000","766,30K","-1,61%"
"22.10.2020","6,200","6,350","6,360","6,180","852,84K","-1,59%"
"21.10.2020","6,300","6,340","6,350","6,190","955,55K","0,16%"
"20.10.2020","6,290","6,310","6,510","6,250","2,38M","-0,16%"
"19.10.2020","6,300","6,300","6,360","6,140","2,08M","0,32%"
"16.10.2020","6,280","6,310","6,390","6,250","1,04M","0,16%"
"15.10.2020","6,270","6,360","6,490","6,230","1,06M","-0,95%"
"14.10.2020","6,330","6,340","6,520","6,270","2,36M","0,16%"
"13.10.2020","6,320","6,300","6,320","6,220","728,30K","0,80%"
"12.10.2020","6,270","6,250","6,390","6,200","1,47M","0,48%"
"09.10.2020","6,240","6,310","6,360","6,200","537,87K","-1,11%"
"08.10.2020","6,310","6,180","6,350","6,150","1,14M","2,60%"
"07.10.2020","6,150","6,140","6,240","6,100","807,12K","0,16%"
"06.10.2020","6,140","6,300","6,330","6,050","708,87K","-1,44%"
"05.10.2020","6,230","6,180","6,330","6,130","617,11K","1,30%"
"02.10.2020","6,150","6,170","6,340","6,080","1,01M","-0,49%"
"01.10.2020","6,180","6,470","6,530","6,150","917,85K","-3,89%"
"30.09.2020","6,430","6,220","6,610","6,220","1,71M","3,71%"
"29.09.2020","6,200","6,270","6,320","6,000","1,45M","-1,90%"
"28.09.2020","6,320","6,020","6,460","5,970","4,11M","6,04%"
"25.09.2020","5,960","5,980","6,020","5,840","1,40M","0,00%"
"24.09.2020","5,960","6,090","6,140","5,930","2,28M","-2,13%"
"23.09.2020","6,090","6,110","6,360","5,960","4,78M","1,67%"
"22.09.2020","5,990","5,750","5,990","5,600","3,05M","5,09%"
"21.09.2020","5,700","5,750","6,070","5,590","3,65M","1,60%"
"18.09.2020","5,610","5,400","5,620","5,330","1,46M","4,08%"
"17.09.2020","5,390","5,340","5,460","5,330","2,85M","-0,19%"
"16.09.2020","5,400","5,500","5,560","5,380","867,38K","-0,55%"
"15.09.2020","5,430","5,330","5,480","5,310","2,33M","1,88%"
"14.09.2020","5,330","5,220","5,490","5,190","1,52M","2,30%"
