"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"05.12.2019","13,60","13,45","13,70","13,45","9,11K","-0,22%"
"04.12.2019","13,63","13,45","13,70","13,45","9,47K","0,07%"
"03.12.2019","13,62","13,66","13,81","13,00","31,08K","-0,95%"
"02.12.2019","13,75","13,70","13,90","13,40","31,08K","0,07%"
"29.11.2019","13,74","13,74","13,91","13,40","17,43K","0,00%"
"28.11.2019","13,74","13,76","13,99","13,65","12,33K","-0,15%"
"27.11.2019","13,76","13,71","14,20","13,12","44,10K","0,44%"
"26.11.2019","13,70","14,00","14,00","13,00","29,29K","-1,44%"
"25.11.2019","13,90","14,31","14,31","13,30","33,18K","-1,77%"
"22.11.2019","14,15","14,66","15,05","13,70","154,73K","0,14%"
"21.11.2019","14,13","13,35","14,93","13,31","190,37K","5,92%"
"20.11.2019","13,34","13,77","13,77","13,20","25,01K","-3,12%"
"19.11.2019","13,77","14,05","14,18","13,07","12,48K","-1,99%"
"18.11.2019","14,05","14,50","14,50","13,96","21,07K","0,79%"
"15.11.2019","13,94","14,34","14,34","13,83","26,55K","-1,20%"
"14.11.2019","14,11","14,35","14,90","14,10","61,12K","-1,54%"
"13.11.2019","14,33","14,62","14,95","14,20","45,30K","-1,92%"
"12.11.2019","14,61","14,71","15,15","14,46","30,29K","-2,27%"
"11.11.2019","14,95","15,27","15,29","14,56","29,97K","-1,06%"
"08.11.2019","15,11","15,39","15,47","14,50","85,73K","-1,37%"
"07.11.2019","15,32","15,30","15,84","15,20","71,49K","1,46%"
"06.11.2019","15,10","15,14","16,25","14,50","154,34K","-0,59%"
"05.11.2019","15,19","14,11","16,45","13,06","316,51K","4,83%"
"04.11.2019","14,49","15,03","15,30","14,40","64,95K","-3,59%"
"01.11.2019","15,03","16,11","16,40","14,50","154,74K","-5,94%"
"31.10.2019","15,98","13,56","16,89","12,36","335,05K","12,54%"
"30.10.2019","14,20","13,82","14,20","13,82","26,55K","5,03%"
"28.10.2019","13,52","13,00","13,52","13,00","1,15K","5,05%"
"25.10.2019","12,87","12,40","12,87","12,40","20,06K","4,13%"
"24.10.2019","12,36","11,00","12,36","11,00","28,33K","20,00%"
"23.10.2019","10,30","10,00","10,30","10,00","8,71K","3,21%"
"22.10.2019","9,98","9,99","9,99","9,98","17,20K","-4,86%"
"21.10.2019","10,49","10,49","10,49","10,49","37,79K","-19,98%"
"18.10.2019","13,11","13,11","13,30","13,11","7,18K","0,08%"
"17.10.2019","13,10","14,00","14,00","13,01","4,52K","-6,43%"
"16.10.2019","14,00","13,00","14,00","13,00","7,02K","-2,10%"
"15.10.2019","14,30","14,31","15,70","13,22","36,74K","-0,14%"
"14.10.2019","14,32","14,98","15,40","13,50","46,26K","-8,21%"
"11.10.2019","15,60","13,50","15,60","11,30","54,07K","12,88%"
"10.10.2019","13,82","14,22","15,41","13,78","27,28K","-10,84%"
"09.10.2019","15,50","15,49","15,93","14,40","18,89K","-0,19%"
"08.10.2019","15,53","16,53","17,19","15,00","22,91K","-9,66%"
"07.10.2019","17,19","16,50","18,00","14,95","40,51K","-4,82%"
"04.10.2019","18,06","16,45","18,20","16,32","242,50K","15,47%"
"03.10.2019","15,64","13,00","15,64","11,71","668,63K","19,94%"
"02.10.2019","13,04","11,52","13,04","11,48","833,58K","19,96%"
"01.10.2019","10,87","10,63","10,87","9,57","107,41K","19,98%"
"30.09.2019","9,06","7,57","9,06","7,40","139,82K","20,00%"
"27.09.2019","7,55","7,84","7,93","7,30","57,87K","-5,03%"
"26.09.2019","7,95","8,10","8,10","7,84","35,56K","-1,36%"
"25.09.2019","8,06","8,08","8,10","7,82","19,51K","-0,37%"
"24.09.2019","8,09","8,09","8,11","8,09","50,98K","-0,12%"
"23.09.2019","8,10","8,10","8,11","8,09","36,28K","-0,12%"
"20.09.2019","8,11","8,11","8,12","8,09","439,04K","-0,25%"
"19.09.2019","8,13","8,13","8,13","8,11","27,62K","0,00%"
"18.09.2019","8,13","8,14","8,14","8,12","39,53K","0,00%"
"17.09.2019","8,13","8,15","8,16","8,12","28,12K","-0,12%"
"16.09.2019","8,14","8,15","8,17","8,13","34,67K","-0,12%"
"13.09.2019","8,15","8,12","8,15","8,12","56,98K","0,00%"
"12.09.2019","8,15","8,13","8,15","8,13","28,66K","0,25%"
"11.09.2019","8,13","8,14","8,14","8,12","25,63K","0,00%"
"10.09.2019","8,13","8,11","8,13","8,11","31,29K","0,12%"
"09.09.2019","8,12","8,11","8,13","8,11","33,01K","0,12%"
"06.09.2019","8,11","8,12","8,13","8,11","140,11K","-0,12%"
"05.09.2019","8,12","8,12","8,13","8,11","248,39K","-0,12%"
"04.09.2019","8,13","8,20","8,20","8,12","93,17K","-0,73%"
"03.09.2019","8,19","8,19","8,23","8,14","30,90K","-1,44%"
"02.09.2019","8,31","8,29","8,38","8,19","55,07K","0,24%"
"29.08.2019","8,29","8,21","8,30","8,18","141,99K","1,10%"
"28.08.2019","8,20","8,22","8,22","8,19","12,74K","-0,36%"
