"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","12,07","12,22","12,34","12,01","1,87M","-1,07%"
"22.10.2020","12,20","12,43","12,44","12,20","2,01M","-1,61%"
"21.10.2020","12,40","12,50","12,58","12,40","2,69M","-0,40%"
"20.10.2020","12,45","12,50","12,57","12,39","2,22M","-0,40%"
"19.10.2020","12,50","12,61","12,65","12,47","1,98M","-0,40%"
"16.10.2020","12,55","12,37","12,68","12,34","2,93M","2,03%"
"15.10.2020","12,30","12,65","12,84","12,30","3,68M","-3,15%"
"14.10.2020","12,70","12,73","12,95","12,48","4,52M","-0,08%"
"13.10.2020","12,71","12,35","12,72","12,33","4,72M","3,59%"
"12.10.2020","12,27","12,10","12,38","12,05","3,88M","2,25%"
"09.10.2020","12,00","11,94","12,13","11,92","2,11M","0,76%"
"08.10.2020","11,91","12,10","12,19","11,88","2,75M","-1,57%"
"07.10.2020","12,10","12,06","12,27","11,98","3,28M","0,17%"
"06.10.2020","12,08","12,04","12,32","12,04","5,65M","0,83%"
"05.10.2020","11,98","11,76","11,98","11,75","3,66M","2,48%"
"02.10.2020","11,69","11,60","11,81","11,60","2,87M","0,78%"
"01.10.2020","11,60","11,66","11,86","11,55","4,14M","0,09%"
"30.09.2020","11,59","11,60","12,08","11,57","8,39M","0,70%"
"29.09.2020","11,51","11,15","11,72","11,14","5,49M","3,32%"
"28.09.2020","11,14","11,27","11,35","11,11","1,51M","-1,15%"
"25.09.2020","11,27","11,25","11,39","11,23","1,40M","0,45%"
"24.09.2020","11,22","11,16","11,23","11,10","995,45K","0,45%"
"23.09.2020","11,17","11,13","11,26","11,13","1,18M","0,45%"
"22.09.2020","11,12","11,04","11,18","10,94","912,85K","0,91%"
"21.09.2020","11,02","11,25","11,27","11,02","1,27M","-1,96%"
"18.09.2020","11,24","11,51","11,54","11,24","1,76M","-2,26%"
"17.09.2020","11,50","11,11","11,50","11,00","2,50M","3,32%"
"16.09.2020","11,13","11,24","11,28","11,12","773,18K","-0,89%"
"15.09.2020","11,23","11,36","11,41","11,21","1,29M","-0,97%"
"14.09.2020","11,34","11,34","11,37","11,30","691,18K","0,71%"
"11.09.2020","11,26","11,17","11,43","11,15","1,32M","0,90%"
"10.09.2020","11,16","11,18","11,27","11,15","768,13K","-0,18%"
"09.09.2020","11,18","11,27","11,27","11,12","1,15M","-0,71%"
"08.09.2020","11,26","11,20","11,38","11,10","2,01M","2,55%"
"07.09.2020","10,98","10,83","10,98","10,79","704,88K","2,04%"
"04.09.2020","10,76","10,69","10,77","10,67","639,89K","0,94%"
"03.09.2020","10,66","10,72","10,86","10,65","1,01M","-0,19%"
"02.09.2020","10,68","10,75","10,79","10,66","843,04K","-0,28%"
"01.09.2020","10,71","10,82","10,88","10,55","1,13M","-0,83%"
"31.08.2020","10,80","11,11","11,12","10,80","1,28M","-2,88%"
"28.08.2020","11,12","11,28","11,29","11,10","788,79K","-1,07%"
"27.08.2020","11,24","11,26","11,36","11,19","1,20M","0,36%"
"26.08.2020","11,20","11,12","11,43","11,09","2,25M","0,45%"
"25.08.2020","11,15","11,14","11,40","11,05","1,58M","0,09%"
"24.08.2020","11,14","11,18","11,24","11,03","757,76K","-0,18%"
"21.08.2020","11,16","11,28","11,47","11,12","1,70M","-0,36%"
"20.08.2020","11,20","11,05","11,20","10,91","1,10M","1,63%"
"19.08.2020","11,02","11,00","11,09","10,82","1,39M","0,73%"
"18.08.2020","10,94","10,97","11,12","10,92","968,13K","0,00%"
"17.08.2020","10,94","11,12","11,20","10,89","775,93K","-1,00%"
"14.08.2020","11,05","11,22","11,30","11,01","699,16K","-2,73%"
"13.08.2020","11,36","11,64","11,73","11,22","1,01M","-2,24%"
"12.08.2020","11,62","11,61","11,79","11,47","1,06M","0,17%"
"11.08.2020","11,60","11,50","12,07","11,49","2,64M","0,96%"
"10.08.2020","11,49","11,09","11,65","10,82","2,47M","3,51%"
"07.08.2020","11,10","10,62","11,20","10,09","1,03M","2,97%"
"06.08.2020","10,78","11,29","11,35","10,45","1,42M","-5,02%"
"05.08.2020","11,35","11,36","11,50","10,80","690,67K","-0,09%"
"04.08.2020","11,36","12,00","12,05","10,94","1,49M","-4,62%"
"30.07.2020","11,91","11,84","12,03","11,77","510,74K","1,19%"
"29.07.2020","11,77","11,90","12,00","11,55","1,03M","-1,01%"
"28.07.2020","11,89","12,60","12,63","11,83","2,20M","-5,41%"
"27.07.2020","12,57","12,40","12,70","12,37","1,37M","1,70%"
"24.07.2020","12,36","12,49","12,49","12,25","1,43M","-1,04%"
"23.07.2020","12,49","12,47","12,57","12,44","1,63M","0,16%"
"22.07.2020","12,47","12,56","12,64","12,35","1,59M","-0,56%"
"21.07.2020","12,54","12,85","12,87","12,31","1,72M","-1,49%"
"20.07.2020","12,73","12,70","12,85","12,70","1,58M","0,39%"
"17.07.2020","12,68","12,67","12,84","12,63","1,88M","0,56%"
"16.07.2020","12,61","12,45","12,69","12,45","1,62M","1,86%"
"14.07.2020","12,38","12,40","12,62","12,29","1,24M","-0,40%"
"13.07.2020","12,43","12,10","12,50","12,10","1,70M","3,33%"
"10.07.2020","12,03","12,12","12,18","11,74","2,05M","-1,88%"
"09.07.2020","12,26","12,63","12,68","12,23","2,01M","-2,70%"
"08.07.2020","12,60","12,86","12,99","12,59","2,05M","-2,02%"
"07.07.2020","12,86","13,10","13,13","12,71","2,71M","-1,08%"
"06.07.2020","13,00","12,76","13,08","12,75","4,73M","2,69%"
"03.07.2020","12,66","12,66","12,86","12,57","2,92M","0,56%"
"02.07.2020","12,59","12,45","12,75","12,41","2,74M","1,53%"
"01.07.2020","12,40","12,59","12,62","12,35","1,96M","-0,48%"
"30.06.2020","12,46","12,36","12,59","12,36","3,31M","1,38%"
"29.06.2020","12,29","12,15","12,30","12,07","3,25M","2,42%"
"26.06.2020","12,00","12,13","12,17","12,00","1,42M","0,08%"
"25.06.2020","11,99","12,07","12,14","11,90","1,68M","-0,58%"
"24.06.2020","12,06","12,17","12,20","11,96","1,94M","-0,74%"
"23.06.2020","12,15","12,18","12,34","12,12","1,83M","0,41%"
"22.06.2020","12,10","12,12","12,28","12,09","1,66M","0,33%"
"19.06.2020","12,06","12,43","12,43","12,02","2,54M","-0,82%"
"18.06.2020","12,16","12,31","12,37","12,16","2,32M","-0,90%"
"17.06.2020","12,27","12,40","12,46","12,17","3,19M","-1,05%"
"16.06.2020","12,40","12,55","12,66","12,40","2,11M","-0,08%"
"15.06.2020","12,41","12,30","12,67","12,26","3,60M","0,98%"
"12.06.2020","12,29","12,03","12,38","11,93","3,66M","1,07%"
"11.06.2020","12,16","11,83","12,37","11,74","7,15M","2,53%"
"10.06.2020","11,86","11,74","11,93","11,74","1,38M","1,02%"
"09.06.2020","11,74","11,86","11,91","11,45","1,48M","-0,76%"
"08.06.2020","11,83","11,95","12,10","11,78","1,81M","-0,67%"
"05.06.2020","11,91","11,95","11,99","11,77","1,58M","0,76%"
"04.06.2020","11,82","11,90","12,20","11,80","3,46M","-0,34%"
"03.06.2020","11,86","11,46","12,02","11,43","6,45M","4,22%"
"02.06.2020","11,38","11,25","11,44","11,24","3,10M","1,52%"
"01.06.2020","11,21","11,12","11,26","11,10","1,73M","1,54%"
"29.05.2020","11,04","11,17","11,40","11,04","2,76M","-0,90%"
"28.05.2020","11,14","11,25","11,30","11,05","1,22M","-0,36%"
"27.05.2020","11,18","11,15","11,34","11,12","1,90M","1,27%"
"22.05.2020","11,04","11,15","11,15","10,94","1,01M","-1,08%"
"21.05.2020","11,16","11,32","11,39","11,05","1,66M","-1,24%"
"20.05.2020","11,30","11,22","11,43","11,20","1,82M","1,62%"
"18.05.2020","11,12","10,87","11,18","10,87","2,06M","3,25%"
"15.05.2020","10,77","10,74","10,96","10,69","1,88M","1,22%"
"14.05.2020","10,64","10,53","10,94","10,45","2,41M","0,38%"
"13.05.2020","10,60","10,70","10,70","10,53","1,32M","-0,93%"
"12.05.2020","10,70","10,37","10,71","10,33","1,33M","3,18%"
"11.05.2020","10,37","10,44","10,49","10,11","1,68M","-0,29%"
"08.05.2020","10,40","10,85","10,92","10,37","1,50M","-3,61%"
"07.05.2020","10,79","10,84","10,86","10,60","931,41K","-0,55%"
"06.05.2020","10,85","11,02","11,06","10,84","968,89K","-1,27%"
"05.05.2020","10,99","10,92","11,13","10,91","1,02M","1,01%"
"04.05.2020","10,88","11,09","11,09","10,79","1,58M","-3,72%"
"30.04.2020","11,30","11,60","11,67","11,10","1,83M","-1,91%"
"29.04.2020","11,52","11,50","11,61","11,45","1,48M","0,79%"
"28.04.2020","11,43","11,50","11,60","11,21","2,65M","0,35%"
"27.04.2020","11,39","11,32","11,50","11,25","3,29M","2,43%"
"24.04.2020","11,12","10,95","11,36","10,90","3,05M","2,96%"
"22.04.2020","10,80","10,44","10,98","10,35","5,51M","4,75%"
"21.04.2020","10,31","10,45","10,47","10,22","1,95M","-2,27%"
"20.04.2020","10,55","10,37","10,57","10,27","2,52M","2,73%"
