"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","6,250","6,630","6,640","6,160","901,33K","-5,16%"
"22.10.2020","6,590","6,280","6,600","6,280","1,55M","6,29%"
"21.10.2020","6,200","5,880","6,200","5,830","1,00M","6,16%"
"20.10.2020","5,840","5,800","5,880","5,780","367,49K","0,69%"
"19.10.2020","5,800","5,900","5,910","5,700","399,38K","-1,19%"
"16.10.2020","5,870","5,910","5,970","5,650","314,13K","-0,68%"
"15.10.2020","5,910","6,000","6,040","5,850","414,89K","-1,50%"
"14.10.2020","6,000","5,890","6,030","5,820","521,19K","2,21%"
"13.10.2020","5,870","6,010","6,080","5,840","505,14K","-2,33%"
"12.10.2020","6,010","5,860","6,020","5,860","372,61K","2,74%"
"09.10.2020","5,850","5,780","6,000","5,780","168,45K","-1,18%"
"08.10.2020","5,920","5,900","5,990","5,740","228,87K","0,00%"
"07.10.2020","5,920","5,980","6,060","5,880","222,02K","-1,00%"
"06.10.2020","5,980","5,770","6,210","5,770","409,13K","3,64%"
"05.10.2020","5,770","5,830","5,880","5,740","218,33K","-1,03%"
"02.10.2020","5,830","5,910","5,940","5,690","148,12K","-1,19%"
"01.10.2020","5,900","5,740","6,010","5,640","263,15K","2,97%"
"30.09.2020","5,730","5,860","5,960","5,700","333,48K","-2,55%"
"29.09.2020","5,880","6,020","6,050","5,720","321,46K","-2,81%"
"28.09.2020","6,050","6,480","6,490","6,050","1,51M","-6,64%"
"25.09.2020","6,480","6,780","7,340","6,280","4,98M","-4,28%"
"24.09.2020","6,770","6,350","6,860","6,220","1,23M","6,11%"
"23.09.2020","6,380","6,250","6,440","6,160","561,27K","2,08%"
"22.09.2020","6,250","6,230","6,500","6,050","596,13K","0,32%"
"21.09.2020","6,230","6,390","6,400","6,000","1,05M","-2,50%"
"18.09.2020","6,390","6,180","6,450","6,150","659,76K","3,40%"
"17.09.2020","6,180","6,830","6,830","6,180","827,52K","-9,12%"
"16.09.2020","6,800","6,970","7,100","6,570","1,88M","-2,44%"
"15.09.2020","6,970","6,800","7,150","6,800","862,95K","3,57%"
"14.09.2020","6,730","6,700","6,980","6,700","440,12K","0,00%"
"11.09.2020","6,730","6,970","7,100","6,680","840,13K","-3,17%"
"10.09.2020","6,950","7,000","7,540","6,800","2,04M","-0,14%"
"09.09.2020","6,960","6,330","6,960","6,160","1,63M","9,95%"
"08.09.2020","6,330","6,340","6,500","6,100","384,12K","-0,16%"
"07.09.2020","6,340","6,200","6,500","6,100","866,67K","2,26%"
"04.09.2020","6,200","5,830","6,310","5,740","1,07M","6,90%"
"03.09.2020","5,800","6,150","6,150","5,750","1,05M","-5,69%"
"02.09.2020","6,150","5,800","6,200","5,670","1,92M","9,04%"
"01.09.2020","5,640","5,470","5,670","5,350","617,32K","2,92%"
"31.08.2020","5,480","5,420","5,580","5,400","288,32K","1,11%"
"28.08.2020","5,420","5,610","5,620","5,370","709,06K","-1,63%"
"27.08.2020","5,510","5,480","5,740","5,390","1,36M","0,55%"
"26.08.2020","5,480","5,150","5,640","5,110","1,31M","6,00%"
"25.08.2020","5,170","5,220","5,400","5,070","378,23K","0,00%"
"24.08.2020","5,170","5,360","5,410","5,160","190,81K","-1,90%"
"21.08.2020","5,270","5,290","5,430","5,110","223,00K","-0,38%"
"20.08.2020","5,290","5,200","5,350","5,170","263,93K","1,15%"
"19.08.2020","5,230","5,550","5,550","5,210","525,40K","-3,68%"
"18.08.2020","5,430","5,330","5,680","5,280","943,40K","2,84%"
"17.08.2020","5,280","5,100","5,460","4,920","844,30K","5,60%"
"14.08.2020","5,000","5,090","5,090","4,840","262,55K","-0,79%"
"13.08.2020","5,040","5,500","5,500","5,020","389,29K","-4,00%"
"12.08.2020","5,250","5,260","5,650","5,120","905,49K","0,77%"
"11.08.2020","5,210","5,210","5,570","5,120","984,00K","2,76%"
"10.08.2020","5,070","4,930","5,240","4,730","416,91K","2,84%"
"07.08.2020","4,930","4,500","4,930","4,240","383,23K","4,67%"
"06.08.2020","4,710","5,240","5,340","4,710","377,67K","-9,94%"
"05.08.2020","5,230","5,650","5,750","5,150","221,25K","-4,56%"
"04.08.2020","5,480","5,840","5,900","5,170","394,22K","-4,53%"
"30.07.2020","5,740","5,750","5,750","5,550","124,77K","2,50%"
"29.07.2020","5,600","5,650","5,790","5,460","251,22K","-1,06%"
"28.07.2020","5,660","5,630","5,950","5,350","505,76K","-3,58%"
"27.07.2020","5,870","6,030","6,140","5,860","296,84K","-2,65%"
"24.07.2020","6,030","5,920","6,140","5,920","193,72K","-0,82%"
"23.07.2020","6,080","6,270","6,270","6,030","399,76K","-1,14%"
"22.07.2020","6,150","6,030","6,300","5,800","869,78K","1,82%"
"21.07.2020","6,040","6,300","6,320","5,730","893,65K","-2,11%"
"20.07.2020","6,170","6,130","6,480","5,840","2,02M","0,65%"
"17.07.2020","6,130","5,800","6,330","5,800","2,03M","6,24%"
"16.07.2020","5,770","5,260","5,770","5,260","1,51M","9,90%"
"14.07.2020","5,250","5,010","5,250","4,790","1,61M","4,79%"
"13.07.2020","5,010","5,150","5,250","4,890","1,55M","2,45%"
"10.07.2020","4,890","4,550","4,910","4,390","2,83M","9,40%"
"09.07.2020","4,470","4,070","4,470","3,990","3,17M","9,83%"
"08.07.2020","4,070","4,060","4,280","3,980","1,46M","0,00%"
"07.07.2020","4,070","4,290","4,340","3,970","2,38M","-4,68%"
"06.07.2020","4,270","3,980","4,270","3,860","2,66M","9,77%"
"03.07.2020","3,890","3,890","3,940","3,700","1,09M","0,78%"
"02.07.2020","3,860","4,000","4,040","3,800","1,67M","0,00%"
"01.07.2020","3,860","3,740","3,980","3,690","6,48M","3,21%"
"30.06.2020","3,740","3,620","3,770","3,570","1,83M","4,47%"
"29.06.2020","3,580","3,550","3,620","3,500","745,20K","1,42%"
"26.06.2020","3,530","3,540","3,590","3,500","734,66K","0,00%"
"25.06.2020","3,530","3,650","3,680","3,490","964,42K","-1,94%"
"24.06.2020","3,600","3,520","3,700","3,490","2,51M","2,86%"
"23.06.2020","3,500","3,500","3,540","3,470","925,36K","0,57%"
"22.06.2020","3,480","3,460","3,620","3,430","2,26M","1,46%"
"19.06.2020","3,430","3,450","3,510","3,400","1,46M","0,29%"
