"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","44,20","45,90","46,80","43,62","3,45M","-2,64%"
"22.10.2020","45,40","44,04","46,14","43,78","3,39M","3,42%"
"21.10.2020","43,90","45,80","45,88","43,62","2,05M","-2,92%"
"20.10.2020","45,22","45,80","46,60","44,06","3,86M","-1,27%"
"19.10.2020","45,80","44,88","46,62","44,86","4,03M","3,62%"
"16.10.2020","44,20","43,14","44,90","43,14","3,44M","2,79%"
"15.10.2020","43,00","40,96","43,74","40,74","4,25M","4,98%"
"14.10.2020","40,96","40,30","41,52","40,30","2,49M","2,55%"
"13.10.2020","39,94","38,86","40,24","38,80","2,14M","3,04%"
"12.10.2020","38,76","38,46","38,90","38,36","906,96K","1,20%"
"09.10.2020","38,30","38,32","38,60","38,20","573,30K","0,05%"
"08.10.2020","38,28","38,82","39,00","38,18","560,19K","-1,29%"
"07.10.2020","38,78","38,88","39,16","38,64","345,13K","-0,31%"
"06.10.2020","38,90","38,98","39,50","38,80","561,62K","0,05%"
"05.10.2020","38,88","38,50","39,18","38,50","395,17K","1,41%"
"02.10.2020","38,34","38,66","38,92","38,26","463,76K","-0,83%"
"01.10.2020","38,66","38,74","40,16","38,16","1,77M","0,52%"
"30.09.2020","38,46","37,74","39,60","37,74","1,47M","2,02%"
"29.09.2020","37,70","38,00","38,12","37,24","352,29K","-0,53%"
"28.09.2020","37,90","37,94","38,78","37,66","575,84K","0,26%"
"25.09.2020","37,80","37,44","38,04","37,36","413,38K","1,83%"
"24.09.2020","37,12","37,14","37,46","36,80","305,47K","0,05%"
"23.09.2020","37,10","37,24","38,04","37,04","410,58K","-0,11%"
"22.09.2020","37,14","37,18","37,54","36,74","227,41K","-0,11%"
"21.09.2020","37,18","38,38","38,42","37,02","408,34K","-3,13%"
"18.09.2020","38,38","38,90","38,92","38,20","236,20K","-0,83%"
"17.09.2020","38,70","38,32","38,88","38,32","299,83K","1,04%"
"16.09.2020","38,30","39,00","39,80","38,30","421,85K","-1,79%"
"15.09.2020","39,00","41,50","41,78","38,60","1,21M","-3,51%"
"14.09.2020","40,42","39,94","40,74","39,94","376,14K","1,20%"
"11.09.2020","39,94","39,22","40,54","39,22","857,57K","1,84%"
"10.09.2020","39,22","38,26","39,22","37,68","703,59K","3,87%"
"09.09.2020","37,76","37,90","38,10","37,66","356,28K","-0,11%"
"08.09.2020","37,80","37,80","38,30","37,40","561,85K","0,00%"
"07.09.2020","37,80","38,00","38,50","37,68","460,29K","0,05%"
"04.09.2020","37,78","36,04","39,28","35,94","2,12M","4,94%"
"03.09.2020","36,00","36,72","37,04","36,00","456,36K","-1,85%"
"02.09.2020","36,68","36,40","37,36","36,34","788,70K","0,99%"
"01.09.2020","36,32","37,18","38,00","36,22","1,05M","-2,31%"
"31.08.2020","37,18","38,06","38,06","36,70","295,00K","-2,41%"
"28.08.2020","38,10","38,84","39,10","37,68","310,78K","-1,85%"
"27.08.2020","38,82","38,22","39,10","38,08","418,10K","1,73%"
"26.08.2020","38,16","38,14","38,44","37,92","213,72K","-0,88%"
"25.08.2020","38,50","38,88","39,14","37,92","230,07K","-0,98%"
"24.08.2020","38,88","37,72","39,06","37,72","155,60K","-0,46%"
"21.08.2020","39,06","38,78","39,30","38,38","424,73K","0,93%"
"20.08.2020","38,70","39,24","39,24","38,08","431,56K","-1,53%"
"19.08.2020","39,30","39,10","39,60","38,00","303,79K","0,56%"
"18.08.2020","39,08","39,04","40,02","38,56","290,43K","0,10%"
"17.08.2020","39,04","39,94","40,00","38,80","175,56K","-2,25%"
"14.08.2020","39,94","41,48","41,78","39,62","249,91K","-3,71%"
"13.08.2020","41,48","40,60","42,52","39,86","568,53K","2,17%"
"12.08.2020","40,60","39,80","41,50","39,78","440,90K","2,06%"
"11.08.2020","39,78","38,40","40,02","38,24","454,41K","4,68%"
"10.08.2020","38,00","36,42","38,06","35,54","369,67K","4,34%"
"07.08.2020","36,42","36,76","36,76","34,30","558,17K","-0,92%"
"06.08.2020","36,76","40,00","40,14","36,42","404,19K","-8,33%"
"05.08.2020","40,10","40,10","40,30","38,10","347,82K","0,45%"
"04.08.2020","39,92","42,50","43,06","39,14","601,56K","-3,67%"
"30.07.2020","41,44","41,80","41,80","41,14","108,41K","-0,14%"
"29.07.2020","41,50","42,92","43,08","41,02","346,37K","-3,31%"
"28.07.2020","42,92","45,22","45,26","42,92","422,43K","-5,00%"
"27.07.2020","45,18","45,48","45,76","45,18","312,70K","-0,62%"
"24.07.2020","45,46","45,76","45,76","45,08","190,00K","-0,96%"
"23.07.2020","45,90","46,62","46,72","45,58","387,29K","-1,03%"
"22.07.2020","46,38","47,20","47,62","46,10","279,64K","-1,44%"
"21.07.2020","47,06","47,50","47,98","45,30","523,73K","-0,13%"
"20.07.2020","47,12","46,90","47,48","46,74","368,86K","1,33%"
"17.07.2020","46,50","46,96","47,00","46,38","193,66K","-0,43%"
"16.07.2020","46,70","46,68","47,00","46,30","216,01K","0,91%"
"14.07.2020","46,28","46,46","46,92","45,86","289,43K","-0,34%"
"13.07.2020","46,44","45,00","46,54","44,90","301,24K","3,80%"
"10.07.2020","44,74","45,50","45,62","43,44","482,05K","-1,67%"
"09.07.2020","45,50","47,16","47,42","45,36","479,90K","-3,48%"
"08.07.2020","47,14","48,52","48,84","46,80","713,09K","-2,60%"
"07.07.2020","48,40","49,02","49,30","47,24","467,03K","-0,86%"
"06.07.2020","48,82","49,50","50,30","48,48","705,65K","-1,05%"
"03.07.2020","49,34","49,00","49,38","48,50","993,83K","1,73%"
"02.07.2020","48,50","47,04","48,50","46,84","675,89K","3,32%"
"01.07.2020","46,94","47,60","47,80","46,80","408,48K","-1,39%"
"30.06.2020","47,60","46,60","47,90","46,60","647,58K","2,45%"
"29.06.2020","46,46","46,82","46,82","46,16","551,54K","-0,77%"
"26.06.2020","46,82","48,28","48,28","46,82","435,47K","-1,64%"
"25.06.2020","47,60","48,04","48,04","46,82","805,72K","-0,92%"
"24.06.2020","48,04","48,80","48,80","47,60","639,51K","-1,23%"
"23.06.2020","48,64","49,60","49,70","48,50","539,80K","-1,58%"
"22.06.2020","49,42","48,94","50,85","48,90","1,95M","1,06%"
"19.06.2020","48,90","47,58","49,80","47,58","2,01M","3,25%"
"18.06.2020","47,36","47,02","47,80","46,96","736,17K","0,77%"
"17.06.2020","47,00","47,14","47,22","46,52","547,29K","0,26%"
"16.06.2020","46,88","46,94","47,72","46,66","896,19K","1,12%"
"15.06.2020","46,36","46,96","47,96","46,36","984,57K","-1,24%"
"12.06.2020","46,94","45,48","47,96","44,72","1,92M","2,58%"
"11.06.2020","45,76","45,46","46,00","44,80","602,93K","0,35%"
"10.06.2020","45,60","45,00","45,64","44,60","493,76K","0,53%"
"09.06.2020","45,36","45,90","46,06","45,24","665,91K","-0,96%"
"08.06.2020","45,80","45,32","46,02","45,26","570,82K","1,24%"
"05.06.2020","45,24","45,90","45,94","44,62","742,43K","-0,26%"
"04.06.2020","45,36","45,60","46,20","45,12","663,12K","-0,35%"
"03.06.2020","45,52","45,94","46,20","44,82","594,91K","-0,65%"
"02.06.2020","45,82","46,70","46,70","45,30","845,98K","-1,21%"
"01.06.2020","46,38","46,50","46,88","45,38","1,07M","2,61%"
"29.05.2020","45,20","43,46","45,40","43,44","1,65M","4,39%"
"28.05.2020","43,30","42,28","44,18","42,10","2,18M","4,39%"
"27.05.2020","41,48","41,88","41,88","40,96","1,01M","1,42%"
"22.05.2020","40,90","41,58","41,58","40,44","595,53K","-1,64%"
"21.05.2020","41,58","42,26","42,52","41,38","433,90K","-1,47%"
"20.05.2020","42,20","41,46","42,36","41,46","795,70K","1,93%"
"18.05.2020","41,40","41,14","41,80","41,14","507,49K","1,47%"
"15.05.2020","40,80","40,96","41,40","40,64","376,07K","0,25%"
"14.05.2020","40,70","42,42","42,60","40,10","1,08M","-4,05%"
"13.05.2020","42,42","42,50","42,98","42,16","703,50K","1,00%"
"12.05.2020","42,00","41,00","42,00","40,90","658,83K","3,09%"
"11.05.2020","40,74","40,40","42,06","40,26","1,44M","1,85%"
"08.05.2020","40,00","40,50","40,82","40,00","374,95K","-0,25%"
"07.05.2020","40,10","40,40","40,48","39,52","378,10K","-0,15%"
"06.05.2020","40,16","40,84","41,00","40,16","394,25K","-1,62%"
"05.05.2020","40,82","41,98","42,78","40,04","719,01K","2,05%"
"04.05.2020","40,00","41,48","41,48","39,70","446,91K","-3,85%"
"30.04.2020","41,60","42,28","42,90","40,42","613,37K","-0,48%"
"29.04.2020","41,80","42,30","42,48","41,22","534,93K","-0,76%"
"28.04.2020","42,12","42,48","42,90","41,32","937,95K","0,29%"
