"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","3,450","3,670","3,680","3,330","23,09M","-4,96%"
"22.10.2020","3,630","3,650","3,720","3,470","34,37M","0,00%"
"21.10.2020","3,630","3,920","3,940","3,580","49,53M","-5,96%"
"20.10.2020","3,860","3,670","3,930","3,660","64,16M","6,93%"
"19.10.2020","3,610","3,450","3,610","3,430","44,67M","5,56%"
"16.10.2020","3,420","3,400","3,440","3,370","21,04M","1,48%"
"15.10.2020","3,370","3,470","3,470","3,370","19,55M","-3,16%"
"14.10.2020","3,480","3,470","3,570","3,390","40,16M","1,75%"
"13.10.2020","3,420","3,390","3,480","3,330","43,65M","1,48%"
"12.10.2020","3,370","3,430","3,460","3,340","26,91M","-0,88%"
"09.10.2020","3,400","3,320","3,490","3,290","48,26M","3,34%"
"08.10.2020","3,290","3,260","3,310","3,210","22,57M","1,54%"
"07.10.2020","3,240","3,230","3,300","3,180","18,79M","0,00%"
"06.10.2020","3,240","3,330","3,340","3,230","21,32M","-2,41%"
"05.10.2020","3,320","3,260","3,420","3,240","30,50M","2,79%"
"02.10.2020","3,230","3,120","3,340","3,100","69,06M","2,87%"
"01.10.2020","3,140","3,200","3,210","3,100","21,18M","-1,57%"
"30.09.2020","3,190","3,120","3,250","3,070","48,26M","3,91%"
"29.09.2020","3,070","3,020","3,130","3,000","31,87M","1,66%"
"28.09.2020","3,020","3,080","3,130","3,010","15,29M","-1,95%"
"25.09.2020","3,080","3,230","3,260","3,080","24,90M","-0,65%"
"24.09.2020","3,100","3,000","3,100","2,910","13,34M","3,68%"
"23.09.2020","2,990","3,080","3,100","2,980","10,95M","-1,32%"
"22.09.2020","3,030","2,970","3,180","2,900","43,25M","2,71%"
"21.09.2020","2,950","3,070","3,080","2,920","9,83M","-3,59%"
"18.09.2020","3,060","3,130","3,130","3,050","8,52M","-1,29%"
"17.09.2020","3,100","3,110","3,190","3,050","15,56M","-0,96%"
"16.09.2020","3,130","3,160","3,260","3,110","14,95M","-1,26%"
"15.09.2020","3,170","3,230","3,280","3,100","13,04M","-1,55%"
"14.09.2020","3,220","3,260","3,370","3,150","18,07M","-1,23%"
"11.09.2020","3,260","3,460","3,470","3,200","14,89M","-4,40%"
"10.09.2020","3,410","3,620","3,630","3,330","25,13M","-5,80%"
"09.09.2020","3,620","3,480","3,720","3,360","7,68M","4,32%"
"08.09.2020","3,470","3,530","3,580","3,460","4,56M","-1,98%"
"07.09.2020","3,540","3,500","3,580","3,380","5,15M","1,14%"
"04.09.2020","3,500","3,530","3,620","3,430","6,22M","-1,13%"
"03.09.2020","3,540","3,270","3,550","3,230","11,14M","8,26%"
"02.09.2020","3,270","3,110","3,380","3,070","8,52M","4,81%"
"01.09.2020","3,120","3,040","3,210","2,980","5,35M","2,30%"
"31.08.2020","3,050","3,050","3,070","2,970","3,54M","-0,65%"
"28.08.2020","3,070","3,020","3,120","2,970","7,51M","-0,97%"
"27.08.2020","3,100","3,210","3,310","3,060","10,00M","-4,91%"
"26.08.2020","3,260","2,980","3,260","2,970","13,64M","9,76%"
"25.08.2020","2,970","2,900","3,050","2,880","5,49M","2,41%"
"24.08.2020","2,900","2,900","2,920","2,870","1,52M","-0,34%"
"21.08.2020","2,910","2,870","2,940","2,830","2,56M","0,69%"
"20.08.2020","2,890","2,880","2,930","2,850","2,53M","-2,03%"
"19.08.2020","2,950","2,930","2,980","2,920","2,75M","0,00%"
"18.08.2020","2,950","2,960","2,980","2,910","2,60M","-1,34%"
"17.08.2020","2,990","2,930","3,030","2,880","4,29M","2,40%"
"14.08.2020","2,920","2,890","2,950","2,850","1,79M","-0,34%"
"13.08.2020","2,930","2,890","3,040","2,860","3,34M","1,38%"
"12.08.2020","2,890","2,940","2,950","2,860","2,09M","-1,37%"
"11.08.2020","2,930","2,910","2,980","2,890","3,04M","0,69%"
"10.08.2020","2,910","2,880","2,950","2,740","2,41M","-1,02%"
"07.08.2020","2,940","2,850","2,950","2,580","4,03M","2,80%"
"06.08.2020","2,860","2,990","3,000","2,800","3,17M","-5,30%"
"05.08.2020","3,020","2,900","3,150","2,820","3,40M","4,14%"
"04.08.2020","2,900","3,020","3,040","2,790","2,85M","-4,61%"
"30.07.2020","3,040","3,000","3,050","2,950","1,09M","4,11%"
"29.07.2020","2,920","2,930","2,980","2,790","2,06M","-0,34%"
"28.07.2020","2,930","2,980","3,020","2,920","3,03M","-3,30%"
"27.07.2020","3,030","3,000","3,190","2,910","4,79M","1,00%"
"24.07.2020","3,000","3,000","3,070","2,980","3,14M","-3,54%"
"23.07.2020","3,110","3,180","3,310","3,060","8,27M","-3,12%"
"22.07.2020","3,210","2,930","3,210","2,800","8,37M","9,93%"
"21.07.2020","2,920","3,000","3,000","2,850","3,82M","-1,68%"
"20.07.2020","2,970","2,980","3,030","2,960","3,17M","-1,00%"
"17.07.2020","3,000","2,990","3,070","2,960","2,92M","0,33%"
"16.07.2020","2,990","3,040","3,060","2,980","3,07M","-1,64%"
"14.07.2020","3,040","3,120","3,120","2,980","3,43M","-1,94%"
"13.07.2020","3,100","3,050","3,150","2,970","5,08M","1,31%"
"10.07.2020","3,060","2,920","3,100","2,630","5,84M","4,79%"
"09.07.2020","2,920","3,010","3,130","2,900","5,65M","-5,19%"
"08.07.2020","3,080","3,120","3,230","3,020","6,00M","-2,22%"
"07.07.2020","3,150","3,200","3,220","3,040","6,15M","-1,56%"
"06.07.2020","3,200","3,240","3,300","3,170","5,57M","-1,23%"
"03.07.2020","3,240","3,250","3,320","3,170","4,21M","-0,92%"
"02.07.2020","3,270","3,190","3,410","3,090","6,23M","2,51%"
"01.07.2020","3,190","3,240","3,330","3,150","5,60M","-4,20%"
"30.06.2020","3,330","3,320","3,410","3,260","5,14M","0,00%"
"29.06.2020","3,330","3,470","3,480","3,300","4,54M","-4,03%"
"26.06.2020","3,470","3,480","3,540","3,400","3,60M","-1,70%"
"25.06.2020","3,530","3,350","3,600","3,220","6,37M","1,73%"
"24.06.2020","3,470","3,600","3,800","3,420","8,02M","-5,71%"
"23.06.2020","3,680","3,600","3,680","3,450","14,62M","9,85%"
"22.06.2020","3,350","3,040","3,350","2,930","7,71M","9,84%"
"19.06.2020","3,050","3,100","3,200","2,950","8,62M","-4,69%"
"18.06.2020","3,200","3,370","3,440","3,100","7,20M","-4,19%"
"17.06.2020","3,340","3,490","3,500","3,200","11,88M","-5,65%"
"16.06.2020","3,540","3,760","3,820","3,430","10,69M","-5,85%"
"15.06.2020","3,760","3,830","3,900","3,640","7,24M","1,08%"
"12.06.2020","3,720","3,600","3,970","3,600","8,58M","-2,62%"
"11.06.2020","3,820","3,710","4,050","3,530","16,57M","2,96%"
"10.06.2020","3,710","3,280","3,710","3,050","22,66M","9,76%"
"09.06.2020","3,380","3,380","3,380","3,230","13,25M","9,74%"
"08.06.2020","3,080","3,040","3,080","2,990","15,79M","10,00%"
"05.06.2020","2,800","2,660","2,800","2,660","53,21M","9,80%"
"04.06.2020","2,550","2,340","2,550","2,260","83,46M","9,91%"
"03.06.2020","2,320","2,440","2,480","2,320","40,78M","-3,33%"
"02.06.2020","2,400","2,360","2,570","2,250","165,56M","2,56%"
"01.06.2020","2,340","2,300","2,340","2,190","30,19M","9,86%"
"29.05.2020","2,130","1,930","2,130","1,890","161,57M","9,79%"
"28.05.2020","1,940","1,840","2,000","1,830","158,53M","6,59%"
"27.05.2020","1,820","1,800","1,880","1,780","133,41M","2,82%"
"22.05.2020","1,770","1,800","1,820","1,740","44,03M","-1,67%"
"21.05.2020","1,800","1,820","1,900","1,780","113,26M","-1,64%"
"20.05.2020","1,830","1,680","1,830","1,680","79,44M","9,58%"
"18.05.2020","1,670","1,680","1,730","1,670","39,69M","1,21%"
"15.05.2020","1,650","1,590","1,700","1,580","85,82M","5,10%"
"14.05.2020","1,570","1,580","1,640","1,540","57,18M","-1,26%"
"13.05.2020","1,590","1,560","1,630","1,560","69,34M","1,92%"
"12.05.2020","1,560","1,560","1,610","1,540","58,23M","0,65%"
"11.05.2020","1,550","1,540","1,610","1,520","104,10M","4,03%"
"08.05.2020","1,490","1,520","1,550","1,470","29,55M","-1,32%"
"07.05.2020","1,510","1,490","1,530","1,470","35,15M","1,34%"
"06.05.2020","1,490","1,500","1,530","1,480","20,07M","-0,67%"
"05.05.2020","1,500","1,470","1,550","1,450","50,47M","3,45%"
"04.05.2020","1,450","1,460","1,480","1,440","15,51M","-2,68%"
"30.04.2020","1,490","1,550","1,570","1,450","28,17M","-3,25%"
"29.04.2020","1,540","1,550","1,570","1,530","30,34M","0,65%"
"28.04.2020","1,530","1,540","1,610","1,500","75,37M","0,00%"
"27.04.2020","1,530","1,490","1,560","1,480","45,76M","4,08%"
"24.04.2020","1,470","1,460","1,510","1,450","41,50M","0,68%"
"22.04.2020","1,460","1,470","1,530","1,460","41,58M","0,00%"
"21.04.2020","1,460","1,460","1,500","1,430","29,31M","-0,68%"
"20.04.2020","1,470","1,480","1,510","1,450","27,42M","0,68%"
"17.04.2020","1,460","1,470","1,550","1,440","79,90M","2,10%"
"16.04.2020","1,430","1,490","1,500","1,390","39,33M","-2,72%"
"15.04.2020","1,470","1,500","1,580","1,400","165,38M","0,00%"
"14.04.2020","1,470","1,360","1,470","1,340","104,51M","9,70%"
"13.04.2020","1,340","1,320","1,380","1,300","34,00M","0,00%"
"10.04.2020","1,340","1,360","1,380","1,330","49,67M","0,00%"
"09.04.2020","1,340","1,300","1,340","1,250","49,69M","4,69%"
"08.04.2020","1,280","1,260","1,320","1,200","64,48M","2,40%"
"07.04.2020","1,250","1,280","1,350","1,220","44,12M","-0,79%"
"06.04.2020","1,260","1,200","1,260","1,180","33,61M","7,69%"
"03.04.2020","1,170","1,200","1,210","1,160","24,57M","-2,50%"
"02.04.2020","1,200","1,260","1,300","1,150","37,27M","-4,00%"
"01.04.2020","1,250","1,210","1,310","1,170","67,20M","2,46%"
"31.03.2020","1,220","1,140","1,220","1,140","44,87M","9,91%"
"30.03.2020","1,110","1,060","1,140","1,010","60,39M","5,71%"
"27.03.2020","1,050","1,080","1,130","1,040","80,63M","-0,94%"
"26.03.2020","1,060","0,970","1,060","0,950","57,17M","9,28%"
"25.03.2020","0,970","0,920","1,000","0,910","47,26M","6,59%"
"24.03.2020","0,910","0,860","0,910","0,840","31,23M","9,64%"
"23.03.2020","0,830","0,880","0,880","0,830","34,70M","-9,78%"
"20.03.2020","0,920","0,950","0,970","0,910","15,86M","0,00%"
"19.03.2020","0,920","0,920","0,970","0,900","26,07M","-1,08%"
"18.03.2020","0,930","0,930","0,990","0,900","28,39M","-3,12%"
"17.03.2020","0,960","1,080","1,110","0,950","45,57M","-8,57%"
"16.03.2020","1,050","1,050","1,140","1,000","24,16M","-5,41%"
