"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","3,300","3,360","3,360","3,000","253,59K","-0,90%"
"22.10.2020","3,330","3,380","3,380","3,330","176,46K","-1,48%"
"21.10.2020","3,380","3,500","3,500","3,380","280,13K","-3,43%"
"20.10.2020","3,500","3,360","3,510","3,360","360,27K","-5,41%"
"19.10.2020","3,700","3,800","3,800","3,700","523,58K","0,00%"
"16.10.2020","3,700","3,400","3,700","3,400","591,54K","9,79%"
"15.10.2020","3,370","3,370","3,370","3,370","262,16K","-0,88%"
"14.10.2020","3,400","3,420","3,420","3,400","356,11K","1,19%"
"13.10.2020","3,360","3,660","3,660","3,360","581,10K","-8,70%"
"12.10.2020","3,680","3,420","3,690","3,420","644,03K","-3,16%"
"09.10.2020","3,800","3,320","3,800","3,320","1,53M","8,26%"
"08.10.2020","3,510","3,510","3,510","3,510","1,08M","-9,77%"
"07.10.2020","3,890","3,890","3,890","3,890","387,59K","-9,95%"
"06.10.2020","4,320","4,320","4,320","4,320","433,74K","-10,00%"
"05.10.2020","4,800","4,710","4,800","4,710","741,28K","3,23%"
"02.10.2020","4,650","3,810","4,650","3,810","920,38K","9,93%"
"01.10.2020","4,230","4,690","4,690","4,230","322,43K","-9,81%"
"30.09.2020","4,690","4,900","4,900","4,690","508,16K","-4,29%"
"29.09.2020","4,900","4,900","5,030","4,900","760,78K","6,99%"
"28.09.2020","4,580","4,440","4,580","4,440","190,95K","9,83%"
"25.09.2020","4,170","4,350","4,350","4,100","476,00K","-6,08%"
"24.09.2020","4,440","4,300","4,480","4,300","533,91K","-4,72%"
"23.09.2020","4,660","4,650","4,800","4,650","932,40K","3,79%"
"22.09.2020","4,490","4,100","4,490","4,100","892,81K","9,78%"
"21.09.2020","4,090","4,090","4,090","4,090","444,86K","9,95%"
"18.09.2020","3,720","3,550","3,720","3,550","454,29K","9,73%"
"17.09.2020","3,390","4,100","4,100","3,390","1,65M","-9,84%"
"16.09.2020","3,760","3,760","3,760","3,760","389,34K","9,94%"
"15.09.2020","3,420","3,420","3,420","3,420","332,50K","9,97%"
"14.09.2020","3,110","2,920","3,110","2,920","845,44K","9,89%"
"11.09.2020","2,830","2,640","2,830","2,640","579,60K","9,69%"
"10.09.2020","2,580","2,440","2,580","2,440","1,01M","9,79%"
"09.09.2020","2,350","2,250","2,350","2,250","298,00K","4,91%"
"08.09.2020","2,240","2,210","2,250","2,210","369,62K","-2,18%"
"07.09.2020","2,290","2,280","2,290","2,280","256,22K","-0,43%"
"04.09.2020","2,300","2,280","2,300","2,280","209,25K","0,00%"
"03.09.2020","2,300","2,370","2,370","2,300","361,68K","-2,95%"
"02.09.2020","2,370","2,310","2,370","2,310","209,97K","3,04%"
"01.09.2020","2,300","2,430","2,430","2,290","231,68K","-3,77%"
