"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","5,160","5,010","5,370","4,760","5,70M","3,41%"
"22.10.2020","4,990","4,740","5,040","4,630","4,96M","5,05%"
"21.10.2020","4,750","4,970","5,010","4,750","1,90M","-3,26%"
"20.10.2020","4,910","4,730","5,070","4,640","6,27M","5,36%"
"19.10.2020","4,660","4,640","4,690","4,550","1,88M","0,22%"
"16.10.2020","4,650","4,650","4,740","4,630","942,19K","0,00%"
"15.10.2020","4,650","4,820","4,840","4,600","1,34M","-3,13%"
"14.10.2020","4,800","4,850","5,170","4,700","10,09M","0,00%"
"13.10.2020","4,800","4,640","4,950","4,260","15,23M","3,45%"
"12.10.2020","4,640","4,590","4,710","4,570","1,90M","1,09%"
"09.10.2020","4,590","4,610","4,660","4,580","1,96M","-0,65%"
"08.10.2020","4,620","4,620","4,710","4,600","1,58M","0,22%"
"07.10.2020","4,610","4,780","4,910","4,610","3,95M","-3,76%"
"06.10.2020","4,790","4,570","4,820","4,540","4,88M","5,04%"
"05.10.2020","4,560","4,590","4,630","4,520","1,69M","0,44%"
"02.10.2020","4,540","4,500","4,650","4,450","4,87M","0,89%"
"01.10.2020","4,500","4,420","4,610","4,350","7,03M","2,51%"
"30.09.2020","4,390","4,420","4,480","4,380","2,85M","0,00%"
"29.09.2020","4,390","4,370","4,540","4,310","2,16M","0,69%"
"28.09.2020","4,360","4,520","4,580","4,310","3,29M","-3,54%"
"25.09.2020","4,520","4,460","4,590","4,440","2,46M","2,03%"
"24.09.2020","4,430","4,460","4,570","4,400","5,73M","-0,45%"
"23.09.2020","4,450","4,500","4,610","4,380","5,81M","-0,89%"
"22.09.2020","4,490","4,240","4,600","4,240","6,40M","5,90%"
"21.09.2020","4,240","4,440","4,480","4,220","1,96M","-3,85%"
"18.09.2020","4,410","4,520","4,550","4,350","2,44M","-2,22%"
"17.09.2020","4,510","4,710","4,710","4,480","3,31M","-5,05%"
"16.09.2020","4,750","4,370","4,750","4,280","9,78M","9,95%"
"15.09.2020","4,320","4,360","4,490","4,220","2,69M","-0,69%"
"14.09.2020","4,350","4,150","4,440","4,080","3,59M","5,33%"
"11.09.2020","4,130","4,470","4,620","4,030","8,31M","-6,77%"
"10.09.2020","4,430","4,030","4,430","4,010","6,60M","9,93%"
"09.09.2020","4,030","3,890","4,040","3,840","1,91M","4,13%"
"08.09.2020","3,870","3,950","3,990","3,860","2,41M","-1,78%"
"07.09.2020","3,940","3,950","3,980","3,880","1,15M","1,03%"
"04.09.2020","3,900","3,860","3,950","3,800","1,48M","0,78%"
"03.09.2020","3,870","3,970","4,030","3,860","2,33M","-2,76%"
"02.09.2020","3,980","4,040","4,070","3,980","1,34M","-1,24%"
"01.09.2020","4,030","4,050","4,090","3,960","1,88M","-0,25%"
"31.08.2020","4,040","4,080","4,240","4,020","4,69M","-0,25%"
"28.08.2020","4,050","4,060","4,140","4,020","2,91M","0,00%"
"27.08.2020","4,050","4,000","4,070","3,950","3,27M","2,53%"
"26.08.2020","3,950","3,900","4,060","3,850","1,79M","1,02%"
"25.08.2020","3,910","4,180","4,190","3,890","4,76M","-5,56%"
"24.08.2020","4,140","4,100","4,230","3,900","9,65M","7,53%"
"21.08.2020","3,850","3,810","3,960","3,770","2,96M","1,58%"
"20.08.2020","3,790","3,780","3,840","3,730","1,58M","0,80%"
