"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","11,330","13,300","13,300","11,000","495,86K","-6,36%"
"22.10.2020","12,100","12,100","12,100","12,100","244,18K","10,00%"
"21.10.2020","11,000","11,000","11,000","11,000","150,28K","10,00%"
"20.10.2020","10,000","10,770","10,770","9,900","519,22K","-8,84%"
"19.10.2020","10,970","11,400","11,400","10,970","266,13K","-2,92%"
"16.10.2020","11,300","12,270","12,270","11,300","412,08K","-7,91%"
"15.10.2020","12,270","11,160","12,270","10,150","1,55M","9,95%"
"14.10.2020","11,160","12,000","12,900","11,160","1,81M","-9,93%"
"13.10.2020","12,390","14,450","15,010","12,310","3,43M","-9,36%"
"12.10.2020","13,670","12,770","13,670","12,550","1,78M","9,98%"
"09.10.2020","12,430","11,920","12,430","11,500","1,97M","10,00%"
"08.10.2020","11,300","10,990","11,300","10,500","1,48M","9,92%"
"07.10.2020","10,280","10,220","10,280","9,750","1,04M","9,95%"
"06.10.2020","9,350","8,900","9,350","8,550","1,51M","10,00%"
"05.10.2020","8,500","8,450","8,500","7,790","1,15M","9,96%"
"02.10.2020","7,730","7,950","8,000","7,280","876,91K","-2,77%"
"01.10.2020","7,950","7,900","8,500","7,140","1,59M","1,66%"
"30.09.2020","7,820","8,590","8,590","7,820","832,46K","-9,91%"
"29.09.2020","8,680","8,970","9,900","8,280","1,17M","-5,65%"
"28.09.2020","9,200","8,460","9,200","8,460","1,57M","9,92%"
"25.09.2020","8,370","8,370","8,370","8,370","1,25M","-9,90%"
"24.09.2020","9,290","11,350","11,350","9,290","1,30M","-9,98%"
"23.09.2020","10,320","10,320","10,320","10,320","446,33K","9,90%"
"22.09.2020","9,390","9,380","9,390","9,380","545,15K","9,95%"
"21.09.2020","8,540","8,530","8,540","8,530","725,12K","9,91%"
"18.09.2020","7,770","7,770","7,770","7,500","1,57M","9,90%"
"17.09.2020","7,070","7,070","7,070","7,070","407,53K","9,95%"
"16.09.2020","6,430","6,430","6,430","6,400","1,34M","9,91%"
"15.09.2020","5,850","5,850","5,850","5,580","1,48M","9,96%"
"14.09.2020","5,320","5,320","5,320","5,320","658,71K","9,92%"
"11.09.2020","4,840","4,370","4,840","4,280","492,95K","10,00%"
"10.09.2020","4,400","4,400","4,400","4,250","380,12K","-2,22%"
"09.09.2020","4,500","4,480","4,590","4,480","395,48K","0,67%"
"08.09.2020","4,470","4,440","4,630","4,440","972,67K","4,68%"
"07.09.2020","4,270","3,920","4,270","3,920","496,85K","9,77%"
"04.09.2020","3,890","3,960","3,960","3,860","172,83K","-2,51%"
"03.09.2020","3,990","4,200","4,200","3,970","693,68K","1,53%"
"02.09.2020","3,930","3,590","3,930","3,590","427,02K","9,78%"
"01.09.2020","3,580","3,640","3,640","3,570","106,98K","2,29%"
"31.08.2020","3,500","3,530","3,550","3,480","119,66K","-0,57%"
"28.08.2020","3,520","3,520","3,590","3,520","142,37K","1,73%"
"27.08.2020","3,460","3,390","3,460","3,390","75,22K","2,67%"
"26.08.2020","3,370","3,490","3,490","3,290","109,74K","-2,03%"
"25.08.2020","3,440","3,480","3,480","3,400","83,70K","-0,86%"
"24.08.2020","3,470","3,470","3,510","3,470","103,62K","0,00%"
"21.08.2020","3,470","3,670","3,670","3,470","132,54K","-2,80%"
"20.08.2020","3,570","3,600","3,600","3,550","99,81K","0,56%"
"19.08.2020","3,550","3,610","3,610","3,550","82,48K","0,28%"
"18.08.2020","3,540","3,480","3,550","3,480","93,40K","1,72%"
"17.08.2020","3,480","3,500","3,500","3,460","68,06K","-0,57%"
"14.08.2020","3,500","3,550","3,550","3,490","60,32K","-2,51%"
"13.08.2020","3,590","3,640","3,640","3,590","130,16K","-0,55%"
"12.08.2020","3,610","3,670","3,670","3,600","144,73K","-0,82%"
"11.08.2020","3,640","3,530","3,700","3,500","113,87K","4,60%"
"10.08.2020","3,480","3,440","3,480","3,440","89,67K","2,35%"
"07.08.2020","3,400","3,390","3,400","3,150","234,44K","3,03%"
"06.08.2020","3,300","3,650","3,650","3,290","186,82K","-9,34%"
"05.08.2020","3,640","3,690","3,690","3,640","85,68K","-1,36%"
"04.08.2020","3,690","3,860","3,870","3,690","125,57K","-2,89%"
"30.07.2020","3,800","3,810","3,810","3,790","53,11K","1,06%"
"29.07.2020","3,760","3,800","3,800","3,760","160,21K","-0,53%"
"28.07.2020","3,780","3,940","3,940","3,780","170,17K","-4,06%"
"27.07.2020","3,940","4,000","4,000","3,940","170,75K","1,03%"
"24.07.2020","3,900","3,910","3,910","3,880","128,14K","-1,27%"
"23.07.2020","3,950","3,950","3,960","3,940","228,39K","0,25%"
"22.07.2020","3,940","3,970","3,970","3,940","256,85K","-1,25%"
"21.07.2020","3,990","4,050","4,050","3,980","162,86K","-0,75%"
"20.07.2020","4,020","3,970","4,020","3,970","243,49K","1,52%"
"17.07.2020","3,960","3,990","3,990","3,890","177,64K","-0,50%"
"16.07.2020","3,980","3,960","3,990","3,960","180,13K","0,51%"
"14.07.2020","3,960","4,050","4,050","3,900","235,27K","-3,41%"
"13.07.2020","4,100","4,150","4,150","4,000","188,91K","7,89%"
"10.07.2020","3,800","3,900","3,900","3,700","154,68K","-2,56%"
"09.07.2020","3,900","4,000","4,000","3,900","261,85K","-2,50%"
"08.07.2020","4,000","4,130","4,130","3,950","213,26K","-2,44%"
"07.07.2020","4,100","4,250","4,250","4,090","383,99K","-2,15%"
"06.07.2020","4,190","3,950","4,200","3,950","580,95K","6,62%"
"03.07.2020","3,930","3,950","3,950","3,910","142,99K","-0,25%"
"02.07.2020","3,940","3,900","3,950","3,900","227,30K","1,03%"
"01.07.2020","3,900","3,960","3,960","3,900","146,59K","-1,52%"
"30.06.2020","3,960","4,000","4,000","3,950","246,59K","1,54%"
"29.06.2020","3,900","3,860","3,950","3,860","157,60K","1,30%"
"26.06.2020","3,850","3,850","3,880","3,850","76,27K","0,26%"
"25.06.2020","3,840","3,860","3,860","3,840","65,41K","-1,29%"
"24.06.2020","3,890","3,850","3,890","3,830","174,45K","0,00%"
"23.06.2020","3,890","3,900","3,900","3,870","134,48K","-0,26%"
"22.06.2020","3,900","4,000","4,000","3,900","208,15K","-3,47%"
"19.06.2020","4,040","4,200","4,200","4,040","392,13K","0,00%"
"18.06.2020","4,040","3,880","4,040","3,880","425,48K","6,32%"
"17.06.2020","3,800","3,850","3,850","3,800","157,07K","-1,30%"
"16.06.2020","3,850","3,850","3,870","3,850","228,89K","0,00%"
"15.06.2020","3,850","3,910","3,910","3,800","215,46K","-2,28%"
"12.06.2020","3,940","3,790","3,970","3,780","148,92K","1,55%"
"11.06.2020","3,880","3,880","3,880","3,880","122,46K","0,52%"
"10.06.2020","3,860","3,800","3,860","3,800","175,11K","1,85%"
"09.06.2020","3,790","3,780","3,790","3,740","131,25K","0,00%"
"08.06.2020","3,790","3,850","3,860","3,790","126,58K","-1,56%"
"05.06.2020","3,850","3,880","3,880","3,800","84,53K","0,79%"
"04.06.2020","3,820","3,860","3,860","3,800","127,92K","-1,04%"
"03.06.2020","3,860","3,900","3,900","3,840","117,16K","0,00%"
"02.06.2020","3,860","3,920","3,920","3,810","135,08K","-1,03%"
"01.06.2020","3,900","4,000","4,000","3,820","161,28K","3,45%"
"29.05.2020","3,770","3,770","3,770","3,740","66,24K","0,00%"
"28.05.2020","3,770","3,870","3,870","3,700","109,59K","-2,58%"
"27.05.2020","3,870","3,950","3,950","3,850","136,13K","3,48%"
"22.05.2020","3,740","3,740","3,740","3,730","91,41K","-1,58%"
"21.05.2020","3,800","3,830","3,850","3,770","144,57K","-0,52%"
"20.05.2020","3,820","3,920","3,920","3,800","219,72K","-2,55%"
"18.05.2020","3,920","3,910","4,000","3,910","204,45K","-0,51%"
"15.05.2020","3,940","4,000","4,000","3,900","116,48K","2,34%"
"14.05.2020","3,850","3,910","4,000","3,820","369,52K","-7,45%"
"13.05.2020","4,160","4,500","4,500","4,160","817,87K","0,00%"
"12.05.2020","4,160","3,880","4,160","3,880","463,01K","9,76%"
"11.05.2020","3,790","3,730","3,800","3,730","285,12K","4,41%"
"08.05.2020","3,630","3,750","3,750","3,600","170,88K","2,25%"
"07.05.2020","3,550","3,400","3,550","3,400","130,16K","2,01%"
"06.05.2020","3,480","3,550","3,550","3,480","121,76K","-1,97%"
"05.05.2020","3,550","3,550","3,550","3,500","125,86K","1,72%"
"04.05.2020","3,490","3,540","3,550","3,490","192,26K","-3,06%"
"30.04.2020","3,600","3,850","3,850","3,390","213,71K","-3,74%"
"29.04.2020","3,740","3,570","3,740","3,570","166,03K","6,86%"
"28.04.2020","3,500","3,340","3,520","3,340","147,73K","5,11%"
"27.04.2020","3,330","3,310","3,340","3,300","204,28K","2,15%"
"24.04.2020","3,260","3,180","3,260","3,180","197,70K","2,84%"
"22.04.2020","3,170","3,150","3,170","2,830","139,07K","1,60%"
"21.04.2020","3,120","3,110","3,120","3,100","101,18K","-1,89%"
"20.04.2020","3,180","3,200","3,200","3,140","129,40K","0,95%"
"17.04.2020","3,150","3,070","3,150","3,050","80,72K","4,30%"
"16.04.2020","3,020","3,110","3,110","2,830","83,45K","-1,31%"
"15.04.2020","3,060","3,200","3,200","3,050","116,16K","-4,38%"
"14.04.2020","3,200","3,130","3,200","3,130","183,99K","2,89%"
"13.04.2020","3,110","3,130","3,140","3,110","87,05K","-0,96%"
"10.04.2020","3,140","3,140","3,140","3,100","61,60K","0,00%"
"09.04.2020","3,140","3,120","3,140","3,120","88,61K","1,95%"
"08.04.2020","3,080","3,190","3,190","3,050","116,10K","-3,45%"
"07.04.2020","3,190","3,270","3,270","3,190","264,56K","7,05%"
"06.04.2020","2,980","2,780","2,980","2,780","83,94K","9,96%"
"03.04.2020","2,710","2,670","2,710","2,670","64,56K","1,50%"
"02.04.2020","2,670","2,630","2,720","2,630","120,68K","1,52%"
"01.04.2020","2,630","2,610","2,630","2,610","144,95K","-0,75%"
"31.03.2020","2,650","2,570","2,650","2,570","92,39K","3,92%"
"30.03.2020","2,550","2,590","2,590","2,480","131,74K","-3,04%"
"27.03.2020","2,630","2,690","2,700","2,630","204,31K","-1,13%"
"26.03.2020","2,660","2,590","2,660","2,560","154,81K","2,70%"
