"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","75,30","77,25","77,75","74,65","122,36K","-2,52%"
"22.10.2020","77,25","76,90","77,25","74,95","134,89K","0,46%"
"21.10.2020","76,90","78,50","78,90","76,55","134,86K","-1,98%"
"20.10.2020","78,45","78,20","79,40","78,10","182,76K","0,97%"
"19.10.2020","77,70","78,40","79,80","77,65","217,84K","0,00%"
"16.10.2020","77,70","78,00","78,80","77,40","129,08K","-0,38%"
"15.10.2020","78,00","79,45","79,65","77,80","128,43K","-2,07%"
"14.10.2020","79,65","80,05","81,00","79,40","103,98K","-0,38%"
"13.10.2020","79,95","83,00","83,00","79,80","546,50K","-4,59%"
"12.10.2020","83,80","79,20","84,00","77,95","366,97K","6,35%"
"09.10.2020","78,80","80,25","80,35","78,70","117,02K","-1,50%"
"08.10.2020","80,00","79,95","80,30","78,40","403,36K","1,39%"
"07.10.2020","78,90","79,20","79,85","78,25","160,30K","0,51%"
"06.10.2020","78,50","79,05","84,50","77,50","794,19K","0,32%"
"05.10.2020","78,25","79,25","79,70","76,65","331,20K","0,64%"
"02.10.2020","77,75","81,10","84,00","77,65","677,46K","-4,31%"
"01.10.2020","81,25","74,00","81,25","73,15","878,67K","9,95%"
"30.09.2020","73,90","74,00","76,00","73,50","228,77K","0,96%"
"29.09.2020","73,20","81,00","81,30","71,55","904,78K","-3,30%"
"28.09.2020","75,70","68,80","75,70","68,55","410,81K","9,95%"
"25.09.2020","68,85","67,95","69,60","67,70","117,21K","1,47%"
"24.09.2020","67,85","66,95","68,30","66,35","97,78K","0,97%"
"23.09.2020","67,20","68,00","68,00","67,05","67,85K","0,00%"
"22.09.2020","67,20","67,00","68,00","66,45","114,58K","0,45%"
"21.09.2020","66,90","69,20","69,50","66,90","78,03K","-3,32%"
"18.09.2020","69,20","70,00","70,45","69,10","58,76K","-1,00%"
"17.09.2020","69,90","71,00","71,00","69,15","46,17K","-0,21%"
"16.09.2020","70,05","70,80","71,35","69,50","57,84K","-0,99%"
"15.09.2020","70,75","74,00","74,00","70,10","135,36K","-1,05%"
"14.09.2020","71,50","71,00","74,00","70,75","282,70K","3,10%"
"11.09.2020","69,35","67,80","71,15","67,65","332,87K","2,29%"
"10.09.2020","67,80","67,05","68,60","67,05","71,41K","1,12%"
"09.09.2020","67,05","68,00","68,15","66,85","86,75K","-0,52%"
"08.09.2020","67,40","68,80","69,35","67,40","67,44K","-1,82%"
"07.09.2020","68,65","68,25","69,50","67,25","117,72K","0,81%"
"04.09.2020","68,10","68,75","69,10","67,55","68,17K","-0,95%"
"03.09.2020","68,75","68,80","69,90","68,45","48,28K","-0,07%"
"02.09.2020","68,80","69,95","70,30","68,60","35,47K","-1,64%"
