"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","322,00","327,80","330,20","316,50","160,83K","-1,74%"
"22.10.2020","327,70","336,20","337,00","327,40","202,76K","-2,53%"
"21.10.2020","336,20","340,00","340,80","335,30","175,48K","-0,86%"
"20.10.2020","339,10","340,70","344,00","337,90","233,52K","-0,32%"
"19.10.2020","340,20","339,70","345,60","336,50","338,59K","2,75%"
"16.10.2020","331,10","330,50","333,30","329,60","130,68K","0,27%"
"15.10.2020","330,20","338,00","338,30","328,30","188,07K","-2,39%"
"14.10.2020","338,30","344,00","348,80","334,40","322,70K","-0,73%"
"13.10.2020","340,80","332,00","347,00","329,30","641,77K","3,24%"
"12.10.2020","330,10","329,30","338,60","327,70","362,58K","0,92%"
"09.10.2020","327,10","332,20","334,90","324,90","278,83K","-1,45%"
"08.10.2020","331,90","326,00","336,00","324,00","554,91K","3,23%"
"07.10.2020","321,50","319,50","326,00","319,00","211,91K","0,69%"
"06.10.2020","319,30","319,60","325,00","318,10","285,45K","0,38%"
"05.10.2020","318,10","318,90","321,00","317,30","136,84K","0,47%"
"02.10.2020","316,60","317,00","322,40","314,00","188,00K","-0,72%"
"01.10.2020","318,90","317,00","328,40","316,70","351,79K","0,82%"
"30.09.2020","316,30","312,40","318,60","312,40","151,33K","1,38%"
"29.09.2020","312,00","318,00","319,90","310,60","148,61K","-0,73%"
"28.09.2020","314,30","309,00","330,00","307,70","434,82K","1,78%"
"25.09.2020","308,80","311,00","311,80","308,50","96,04K","-0,32%"
"24.09.2020","309,80","308,90","314,00","307,60","119,42K","-0,39%"
"23.09.2020","311,00","310,00","313,40","307,20","156,48K","0,94%"
"22.09.2020","308,10","312,70","315,30","307,00","134,32K","-1,44%"
"21.09.2020","312,60","322,50","324,10","310,00","123,25K","-3,07%"
"18.09.2020","322,50","324,30","325,00","322,00","73,86K","-0,40%"
"17.09.2020","323,80","324,40","326,50","322,60","99,53K","-0,25%"
"16.09.2020","324,60","327,00","329,20","324,00","100,80K","-0,49%"
"15.09.2020","326,20","328,00","333,50","325,00","203,53K","-0,09%"
"14.09.2020","326,50","328,00","333,40","325,90","177,00K","0,62%"
"11.09.2020","324,50","320,10","327,00","319,00","300,29K","1,41%"
"10.09.2020","320,00","322,90","325,80","320,00","111,09K","-0,84%"
"09.09.2020","322,70","322,90","330,10","320,30","152,44K","0,19%"
"08.09.2020","322,10","330,50","333,40","322,00","113,80K","-1,77%"
"07.09.2020","327,90","320,20","332,50","319,50","140,29K","2,63%"
"04.09.2020","319,50","318,00","322,90","317,60","75,31K","0,47%"
"03.09.2020","318,00","317,70","325,20","317,70","70,85K","0,09%"
"02.09.2020","317,70","318,00","321,60","316,90","49,86K","0,03%"
"01.09.2020","317,60","319,30","321,40","315,00","77,05K","-0,53%"
"31.08.2020","319,30","326,50","328,00","319,10","78,70K","-2,21%"
"28.08.2020","326,50","328,90","329,90","325,00","65,99K","-0,73%"
"27.08.2020","328,90","328,60","330,20","325,10","79,53K","0,77%"
"26.08.2020","326,40","327,50","329,60","324,10","86,98K","-0,34%"
"25.08.2020","327,50","333,00","340,40","326,50","252,60K","-0,76%"
"24.08.2020","330,00","330,00","332,80","327,70","90,43K","0,70%"
"21.08.2020","327,70","331,50","335,90","325,50","155,11K","-0,36%"
"20.08.2020","328,90","329,80","331,00","325,40","109,91K","-0,30%"
