"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","4,840","4,960","5,050","4,730","1,67M","-2,42%"
"22.10.2020","4,960","4,990","5,060","4,920","1,58M","-0,40%"
"21.10.2020","4,980","5,020","5,130","4,970","3,41M","0,00%"
"20.10.2020","4,980","4,950","5,040","4,840","2,68M","0,40%"
"19.10.2020","4,960","5,040","5,090","4,930","2,50M","-1,59%"
"16.10.2020","5,040","5,050","5,120","5,000","1,77M","0,40%"
"15.10.2020","5,020","5,180","5,230","5,020","3,34M","-2,71%"
"14.10.2020","5,160","5,190","5,210","5,120","2,95M","0,39%"
"13.10.2020","5,140","5,110","5,280","4,920","5,37M","1,58%"
"12.10.2020","5,060","4,950","5,180","4,920","6,30M","2,64%"
"09.10.2020","4,930","4,940","5,100","4,920","3,28M","-0,20%"
"08.10.2020","4,940","4,830","5,000","4,800","3,33M","2,07%"
"07.10.2020","4,840","4,810","4,910","4,750","2,26M","0,62%"
"06.10.2020","4,810","4,850","4,950","4,740","3,11M","-0,62%"
"05.10.2020","4,840","4,810","5,030","4,800","4,32M","3,20%"
"02.10.2020","4,690","4,600","4,690","4,590","1,60M","1,30%"
"01.10.2020","4,630","4,670","4,760","4,520","3,39M","0,43%"
"30.09.2020","4,610","4,480","4,630","4,410","3,43M","4,30%"
"29.09.2020","4,420","4,270","4,590","4,250","6,38M","3,51%"
"28.09.2020","4,270","4,320","4,350","4,260","1,48M","-0,93%"
"25.09.2020","4,310","4,310","4,390","4,310","2,36M","0,47%"
"24.09.2020","4,290","4,300","4,380","4,240","1,27M","-0,46%"
"23.09.2020","4,310","4,250","4,360","4,240","1,65M","1,65%"
"22.09.2020","4,240","4,240","4,290","4,220","1,62M","-0,24%"
"21.09.2020","4,250","4,390","4,420","4,220","2,26M","-3,19%"
"18.09.2020","4,390","4,390","4,460","4,290","2,24M","0,46%"
"17.09.2020","4,370","4,340","4,420","4,310","1,88M","0,46%"
"16.09.2020","4,350","4,430","4,430","4,280","2,93M","-1,36%"
"15.09.2020","4,410","4,420","4,480","4,340","2,56M","0,00%"
"14.09.2020","4,410","4,430","4,550","4,360","2,81M","-0,23%"
"11.09.2020","4,420","4,500","4,590","4,410","2,60M","-1,78%"
"10.09.2020","4,500","4,350","4,700","4,270","7,33M","3,21%"
"09.09.2020","4,360","4,410","4,450","4,290","7,21M","-2,46%"
"08.09.2020","4,470","5,310","5,340","4,420","29,19M","-8,02%"
"07.09.2020","4,860","4,800","4,860","4,650","2,28M","9,95%"
"04.09.2020","4,420","4,020","4,420","4,000","5,99M","9,95%"
"03.09.2020","4,020","4,060","4,110","4,000","744,97K","-0,99%"
"02.09.2020","4,060","4,000","4,080","3,950","1,01M","1,50%"
"01.09.2020","4,000","4,000","4,040","3,870","1,05M","0,00%"
"31.08.2020","4,000","4,020","4,200","3,960","870,40K","0,00%"
"28.08.2020","4,000","4,100","4,130","4,000","949,79K","-1,96%"
"27.08.2020","4,080","3,990","4,150","3,970","1,98M","2,51%"
"26.08.2020","3,980","4,000","4,050","3,940","990,95K","-0,50%"
"25.08.2020","4,000","4,010","4,040","3,900","1,33M","-0,25%"
"24.08.2020","4,010","3,980","4,090","3,930","1,32M","1,26%"
"21.08.2020","3,960","4,050","4,100","3,900","1,56M","-0,75%"
"20.08.2020","3,990","4,040","4,160","3,850","1,77M","-2,68%"
"19.08.2020","4,100","4,400","4,470","4,050","4,73M","-6,39%"
"18.08.2020","4,380","4,010","4,380","3,920","4,04M","9,77%"
"17.08.2020","3,990","3,930","4,140","3,850","2,09M","1,53%"
"14.08.2020","3,930","3,900","4,060","3,900","763,05K","-2,72%"
"13.08.2020","4,040","3,960","4,140","3,820","1,84M","3,59%"
"12.08.2020","3,900","3,900","4,100","3,770","1,83M","0,00%"
"11.08.2020","3,900","3,790","3,990","3,770","1,27M","2,90%"
"10.08.2020","3,790","3,580","3,910","3,440","1,66M","4,99%"
"07.08.2020","3,610","3,680","3,750","3,310","1,80M","-1,63%"
"06.08.2020","3,670","3,960","3,970","3,590","1,56M","-7,79%"
"05.08.2020","3,980","4,160","4,200","3,960","766,34K","-4,33%"
"04.08.2020","4,160","4,420","4,430","3,960","1,55M","-5,24%"
"30.07.2020","4,390","4,450","4,450","4,340","319,22K","-0,23%"
"29.07.2020","4,400","4,460","4,540","4,240","1,58M","-0,23%"
"28.07.2020","4,410","4,810","4,980","4,410","6,15M","-6,77%"
"27.07.2020","4,730","4,620","4,730","4,500","4,63M","10,00%"
"24.07.2020","4,300","4,150","4,370","4,100","1,50M","0,00%"
"23.07.2020","4,300","4,320","4,430","4,240","3,26M","1,18%"
"22.07.2020","4,250","4,140","4,300","4,000","2,47M","3,41%"
"21.07.2020","4,110","4,180","4,340","3,980","3,76M","-0,48%"
"20.07.2020","4,130","4,120","4,200","4,100","798,01K","-0,24%"
"17.07.2020","4,140","4,170","4,200","4,070","1,24M","0,24%"
"16.07.2020","4,130","4,090","4,250","4,030","1,71M","3,25%"
"14.07.2020","4,000","4,110","4,110","3,980","677,93K","-2,68%"
"13.07.2020","4,110","3,940","4,160","3,940","1,08M","5,38%"
