"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","7,320","7,590","7,640","7,240","3,49M","-2,53%"
"22.10.2020","7,510","7,490","7,620","7,330","4,35M","0,40%"
"21.10.2020","7,480","7,590","7,700","7,440","4,07M","-1,19%"
"20.10.2020","7,570","7,650","7,790","7,530","6,31M","-0,79%"
"19.10.2020","7,630","7,530","7,870","7,510","7,33M","2,01%"
"16.10.2020","7,480","7,380","7,740","7,370","5,46M","1,08%"
"15.10.2020","7,400","7,680","7,680","7,380","3,72M","-2,89%"
"14.10.2020","7,620","7,900","7,930","7,510","6,35M","-2,56%"
"13.10.2020","7,820","7,970","8,040","7,770","5,42M","-1,76%"
"12.10.2020","7,960","7,840","8,140","7,710","8,09M","1,53%"
"09.10.2020","7,840","8,000","8,300","7,650","16,89M","-1,13%"
"08.10.2020","7,930","7,250","7,930","7,070","21,88M","9,99%"
"07.10.2020","7,210","7,250","7,440","7,150","13,10M","-0,55%"
"06.10.2020","7,250","7,170","7,750","7,010","22,30M","1,12%"
"05.10.2020","7,170","6,540","7,170","6,520","17,88M","9,97%"
"02.10.2020","6,520","6,570","6,660","6,480","3,11M","-1,06%"
"01.10.2020","6,590","6,860","6,890","6,590","4,69M","-3,51%"
"30.09.2020","6,830","6,830","6,950","6,730","6,19M","1,04%"
"29.09.2020","6,760","6,880","7,030","6,690","14,25M","-1,31%"
"28.09.2020","6,850","6,600","6,960","6,600","11,16M","4,10%"
"25.09.2020","6,580","6,720","6,820","6,530","4,73M","-1,79%"
"24.09.2020","6,700","6,850","6,960","6,640","14,97M","-2,05%"
"23.09.2020","6,840","6,380","6,840","6,270","14,63M","9,97%"
"22.09.2020","6,220","6,160","6,400","6,030","7,82M","0,16%"
"21.09.2020","6,210","6,650","6,680","6,180","6,78M","-6,19%"
"18.09.2020","6,620","6,770","6,920","6,620","7,81M","-2,07%"
"17.09.2020","6,760","6,880","6,880","6,600","13,12M","-1,89%"
"16.09.2020","6,890","7,200","7,440","6,690","23,48M","-3,64%"
"15.09.2020","7,150","6,550","7,150","6,550","29,09M","10,00%"
"14.09.2020","6,500","6,560","6,640","6,470","6,45M","-0,76%"
"11.09.2020","6,550","6,320","6,780","6,290","20,55M","4,47%"
"10.09.2020","6,270","6,500","6,570","6,260","9,21M","-2,64%"
"09.09.2020","6,440","6,370","6,600","6,320","13,05M","1,58%"
"08.09.2020","6,340","6,300","6,510","6,190","12,67M","0,96%"
"07.09.2020","6,280","6,500","6,670","6,280","22,38M","-1,10%"
"04.09.2020","6,350","5,830","6,350","5,820","17,98M","9,86%"
"03.09.2020","5,780","6,070","6,100","5,780","5,60M","-4,46%"
"02.09.2020","6,050","6,000","6,260","5,860","12,81M","0,83%"
"01.09.2020","6,000","5,570","6,080","5,570","33,07M","8,11%"
"31.08.2020","5,550","5,630","5,790","5,550","5,13M","-1,42%"
"28.08.2020","5,630","5,640","5,660","5,510","3,87M","0,36%"
"27.08.2020","5,610","5,620","5,830","5,570","6,46M","0,54%"
"26.08.2020","5,580","5,540","5,750","5,410","8,62M","0,54%"
"25.08.2020","5,550","5,950","6,080","5,460","8,75M","-6,72%"
"24.08.2020","5,950","5,860","6,150","5,760","15,34M","2,06%"
"21.08.2020","5,830","5,560","5,870","5,420","12,38M","5,23%"
"20.08.2020","5,540","5,230","5,590","5,130","9,37M","6,74%"
"19.08.2020","5,190","5,220","5,330","5,110","4,61M","0,39%"
"18.08.2020","5,170","5,080","5,310","5,070","8,67M","1,77%"
"17.08.2020","5,080","5,100","5,240","5,070","3,75M","-0,59%"
"14.08.2020","5,110","5,050","5,290","5,040","5,36M","-0,20%"
"13.08.2020","5,120","5,100","5,240","5,070","4,62M","0,79%"
"12.08.2020","5,080","5,130","5,320","4,950","6,69M","-0,59%"
"11.08.2020","5,110","5,100","5,190","4,950","5,47M","1,19%"
"10.08.2020","5,050","4,680","5,220","4,610","13,66M","5,87%"
"07.08.2020","4,770","4,470","4,840","4,150","5,91M","6,47%"
"06.08.2020","4,480","4,720","5,140","4,480","15,14M","-4,27%"
