"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","10,370","10,400","10,500","10,320","37,21M","-0,29%"
"22.10.2020","10,400","10,450","10,540","10,380","50,64M","-0,48%"
"21.10.2020","10,450","10,590","10,630","10,450","47,45M","-0,85%"
"20.10.2020","10,540","10,640","10,670","10,530","42,36M","-0,75%"
"19.10.2020","10,620","10,560","10,700","10,550","38,36M","0,66%"
"16.10.2020","10,550","10,520","10,700","10,500","54,16M","0,48%"
"15.10.2020","10,500","10,610","10,670","10,470","34,79M","-1,59%"
"14.10.2020","10,670","10,600","10,730","10,560","48,65M","0,66%"
"13.10.2020","10,600","10,780","10,790","10,580","42,68M","-1,58%"
"12.10.2020","10,770","10,790","10,860","10,740","54,94M","0,09%"
"09.10.2020","10,760","10,730","10,820","10,690","53,90M","0,47%"
"08.10.2020","10,710","10,710","10,760","10,630","48,64M","0,56%"
"07.10.2020","10,650","10,580","10,670","10,550","32,67M","0,28%"
"06.10.2020","10,620","10,710","10,820","10,600","46,61M","-0,56%"
"05.10.2020","10,680","10,700","10,790","10,630","52,36M","0,56%"
"02.10.2020","10,620","10,420","10,990","10,400","232,03M","0,76%"
"01.10.2020","10,540","10,540","10,850","10,540","110,48M","0,38%"
"30.09.2020","10,500","10,400","10,510","10,350","49,38M","1,45%"
"29.09.2020","10,350","10,390","10,520","10,240","48,20M","-0,29%"
"28.09.2020","10,380","10,460","10,580","10,290","52,95M","-0,76%"
"25.09.2020","10,460","10,600","10,660","10,430","39,10M","-0,38%"
"24.09.2020","10,500","10,450","10,590","10,350","47,66M","0,00%"
"23.09.2020","10,500","10,610","10,630","10,470","37,90M","-0,66%"
"22.09.2020","10,570","10,350","10,610","10,270","51,65M","2,13%"
"21.09.2020","10,350","10,590","10,680","10,310","31,59M","-2,82%"
"18.09.2020","10,650","10,710","10,740","10,590","22,58M","-0,47%"
"17.09.2020","10,700","10,600","10,700","10,550","29,01M","0,75%"
"16.09.2020","10,620","10,750","10,830","10,580","23,64M","-1,03%"
"15.09.2020","10,730","10,930","10,960","10,700","27,90M","-1,38%"
"14.09.2020","10,880","10,940","11,070","10,870","36,15M","-0,46%"
"11.09.2020","10,930","10,810","11,080","10,790","95,96M","1,58%"
"10.09.2020","10,760","10,850","10,990","10,750","48,43M","-0,83%"
"09.09.2020","10,850","10,740","10,930","10,710","53,35M","0,65%"
"08.09.2020","10,780","10,820","10,920","10,620","57,91M","0,19%"
"07.09.2020","10,760","10,550","10,820","10,530","60,53M","2,09%"
"04.09.2020","10,540","10,360","10,640","10,290","66,32M","1,84%"
"03.09.2020","10,350","10,530","10,630","10,350","47,63M","-1,52%"
"02.09.2020","10,510","10,690","10,770","10,470","43,78M","-1,68%"
"01.09.2020","10,690","10,570","10,730","10,420","40,84M","1,23%"
"31.08.2020","10,560","10,990","11,010","10,560","53,10M","-4,00%"
"28.08.2020","11,000","11,130","11,150","10,980","27,20M","-1,08%"
"27.08.2020","11,120","11,140","11,210","11,050","38,10M","0,82%"
"26.08.2020","11,030","11,200","11,240","10,970","59,64M","-1,52%"
"25.08.2020","11,200","11,270","11,500","11,060","157,35M","1,08%"
"24.08.2020","11,080","11,080","11,240","11,050","33,69M","-0,27%"
"21.08.2020","11,110","11,280","11,440","10,980","61,24M","-0,80%"
"20.08.2020","11,200","11,250","11,370","11,110","37,95M","-0,53%"
"19.08.2020","11,260","11,080","11,530","11,040","58,53M","1,72%"
"18.08.2020","11,070","11,000","11,260","10,960","47,47M","0,45%"
"17.08.2020","11,020","11,140","11,180","10,930","30,13M","-1,08%"
"14.08.2020","11,140","10,950","11,330","10,890","77,44M","0,00%"
"13.08.2020","11,140","11,420","11,520","10,950","90,30M","-2,45%"
"12.08.2020","11,420","11,650","12,060","11,420","204,32M","-1,64%"
"11.08.2020","11,610","10,590","11,610","10,580","192,83M","9,94%"
"10.08.2020","10,560","10,610","10,810","10,430","39,95M","-1,77%"
"07.08.2020","10,750","10,210","10,770","9,710","70,01M","5,19%"
"06.08.2020","10,220","10,750","10,900","10,220","58,83M","-5,63%"
"05.08.2020","10,830","11,140","11,220","10,750","64,18M","-1,63%"
"04.08.2020","11,010","10,700","11,280","10,490","113,94M","2,99%"
"30.07.2020","10,690","10,800","10,850","10,650","21,93M","-1,38%"
"29.07.2020","10,840","11,060","11,150","10,720","60,35M","-1,99%"
"28.07.2020","11,060","11,590","11,610","11,030","54,08M","-4,49%"
