"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","33,44","36,02","36,02","32,48","457,98K","-5,96%"
"22.10.2020","35,56","37,74","38,10","34,20","496,03K","-5,43%"
"21.10.2020","37,60","38,94","38,94","37,60","138,87K","1,02%"
"20.10.2020","37,22","34,20","37,22","34,20","121,79K","9,99%"
"19.10.2020","33,84","35,04","35,04","33,84","128,95K","-3,42%"
"16.10.2020","35,04","35,84","35,84","35,00","100,16K","-2,23%"
"15.10.2020","35,84","37,00","37,00","35,84","114,71K","-0,22%"
"14.10.2020","35,92","38,18","38,18","34,66","223,17K","-5,97%"
"13.10.2020","38,20","35,48","38,32","35,48","265,27K","7,67%"
"12.10.2020","35,48","35,48","35,48","35,48","57,66K","9,98%"
"09.10.2020","32,26","30,58","32,26","30,58","83,67K","9,95%"
"08.10.2020","29,34","31,72","31,72","29,34","238,04K","-10,00%"
"07.10.2020","32,60","34,54","34,54","32,60","167,54K","-9,89%"
"06.10.2020","36,18","40,10","40,38","34,90","848,91K","-6,66%"
"05.10.2020","38,76","36,70","40,00","34,90","833,10K","5,67%"
"02.10.2020","36,68","31,50","36,68","30,04","988,92K","9,95%"
"01.10.2020","33,36","37,00","37,00","33,36","481,14K","-9,98%"
"30.09.2020","37,06","45,26","45,26","37,06","6,44M","-9,96%"
"29.09.2020","41,16","41,16","41,16","39,12","1,57M","9,99%"
"28.09.2020","37,42","37,42","37,42","37,42","123,65K","9,99%"
"25.09.2020","34,02","34,02","34,02","32,52","347,66K","9,95%"
"24.09.2020","30,94","27,00","30,94","26,30","2,29M","9,95%"
"23.09.2020","28,14","34,38","34,38","28,14","780,14K","-9,98%"
"22.09.2020","31,26","31,26","31,26","31,26","259,19K","9,99%"
"21.09.2020","28,42","28,42","28,42","27,16","408,57K","9,98%"
"18.09.2020","25,84","23,72","25,84","23,72","2,38M","9,96%"
"17.09.2020","23,50","21,70","23,50","21,66","1,60M","9,92%"
"16.09.2020","21,38","21,00","21,38","20,04","2,98M","9,92%"
"15.09.2020","19,45","19,45","19,45","18,50","1,01M","9,95%"
"14.09.2020","17,69","16,09","17,69","16,09","767,39K","9,94%"
"11.09.2020","16,09","15,31","16,30","15,06","1,05M","5,09%"
"10.09.2020","15,31","15,92","15,92","15,24","592,19K","-4,25%"
"09.09.2020","15,99","14,69","16,10","14,63","1,24M","8,55%"
"08.09.2020","14,73","14,87","14,97","14,63","331,04K","-0,54%"
"07.09.2020","14,81","14,76","14,96","14,68","268,44K","0,47%"
"04.09.2020","14,74","14,63","14,92","14,60","395,91K","-0,07%"
"03.09.2020","14,75","14,87","15,01","14,50","318,88K","-0,81%"
"02.09.2020","14,87","14,43","15,15","14,33","730,64K","3,12%"
"01.09.2020","14,42","14,36","14,54","14,17","337,91K","0,42%"
"31.08.2020","14,36","15,04","15,07","14,33","279,45K","-4,27%"
"28.08.2020","15,00","14,95","15,36","14,85","425,54K","1,01%"
"27.08.2020","14,85","15,17","15,28","14,76","448,62K","-1,66%"
"26.08.2020","15,10","15,53","16,20","15,02","708,57K","-2,27%"
"25.08.2020","15,45","15,60","16,48","15,27","1,43M","0,32%"
"24.08.2020","15,40","15,45","16,50","15,00","1,91M","-1,79%"
"21.08.2020","15,68","19,16","19,16","15,68","3,91M","-9,99%"
"20.08.2020","17,42","17,42","17,42","16,70","486,67K","9,97%"
"19.08.2020","15,84","14,40","15,84","14,10","559,96K","10,00%"
"18.08.2020","14,40","14,61","14,80","14,15","276,61K","-1,03%"
"17.08.2020","14,55","14,27","14,87","14,27","297,55K","2,03%"
"14.08.2020","14,26","13,81","14,73","13,50","475,54K","2,81%"
"13.08.2020","13,87","13,60","14,43","13,50","456,14K","1,61%"
"12.08.2020","13,65","13,68","13,75","13,21","173,80K","-0,29%"
"11.08.2020","13,69","13,28","14,30","13,07","348,11K","2,32%"
"10.08.2020","13,38","12,00","13,38","11,84","678,56K","9,94%"
"07.08.2020","12,17","11,28","12,45","10,75","266,97K","4,02%"
"06.08.2020","11,70","12,96","13,08","11,70","151,23K","-10,00%"
"05.08.2020","13,00","13,06","13,27","12,41","87,65K","-0,46%"
"04.08.2020","13,06","13,97","14,00","12,71","228,74K","-5,09%"
"30.07.2020","13,76","14,07","14,07","13,70","73,82K","-0,72%"
"29.07.2020","13,86","14,09","14,20","13,40","199,82K","-1,35%"
"28.07.2020","14,05","14,80","14,83","13,96","189,40K","-5,00%"
"27.07.2020","14,79","14,68","15,09","14,68","262,73K","1,09%"
"24.07.2020","14,63","14,80","14,89","14,58","141,30K","-1,28%"
"23.07.2020","14,82","14,58","15,06","14,58","401,62K","2,21%"
"22.07.2020","14,50","14,66","14,84","14,50","219,21K","-1,02%"
"21.07.2020","14,65","15,42","15,50","14,65","387,99K","-4,50%"
"20.07.2020","15,34","14,90","15,70","14,60","1,07M","4,71%"
"17.07.2020","14,65","14,08","15,00","14,07","1,00M","4,05%"
"16.07.2020","14,08","13,92","14,34","13,90","278,47K","1,73%"
"14.07.2020","13,84","13,99","14,40","13,77","394,12K","-1,07%"
"13.07.2020","13,99","13,53","13,99","13,53","142,27K","3,55%"
"10.07.2020","13,51","13,83","13,83","13,20","193,35K","-3,50%"
"09.07.2020","14,00","14,51","14,62","13,90","215,80K","-3,65%"
"08.07.2020","14,53","14,40","14,67","14,28","335,15K","0,90%"
"07.07.2020","14,40","14,70","14,78","14,20","529,49K","-1,91%"
"06.07.2020","14,68","14,90","15,00","14,63","1,12M","-0,74%"
"03.07.2020","14,79","15,10","15,34","14,76","1,03M","-1,27%"
"02.07.2020","14,98","14,52","15,10","14,52","582,65K","3,31%"
"01.07.2020","14,50","14,80","14,84","14,45","414,53K","-0,96%"
"30.06.2020","14,64","14,45","14,80","14,42","660,54K","1,60%"
"29.06.2020","14,41","14,40","14,58","14,32","285,06K","0,42%"
"26.06.2020","14,35","14,40","14,75","14,27","291,58K","0,00%"
"25.06.2020","14,35","14,59","14,59","14,15","313,90K","-1,98%"
"24.06.2020","14,64","15,07","15,10","14,61","463,29K","-2,85%"
"23.06.2020","15,07","14,40","15,54","14,40","1,96M","4,73%"
"22.06.2020","14,39","14,28","14,61","14,21","226,18K","1,27%"
"19.06.2020","14,21","14,56","14,64","14,21","220,80K","-2,27%"
"18.06.2020","14,54","14,70","14,82","14,50","265,80K","-1,02%"
"17.06.2020","14,69","14,88","14,99","14,65","226,11K","-0,81%"
"16.06.2020","14,81","14,61","15,44","14,61","543,25K","1,51%"
"15.06.2020","14,59","14,80","15,00","14,55","368,46K","-1,55%"
"12.06.2020","14,82","14,98","15,00","14,65","396,87K","-1,98%"
"11.06.2020","15,12","15,75","15,89","15,07","1,30M","-4,30%"
"10.06.2020","15,80","14,50","15,90","14,35","3,23M","9,27%"
"09.06.2020","14,46","14,50","14,70","14,00","511,87K","1,47%"
"08.06.2020","14,25","14,34","14,82","14,24","1,10M","0,14%"
"05.06.2020","14,23","13,70","14,30","13,54","1,59M","4,63%"
"04.06.2020","13,60","13,05","13,99","13,04","1,56M","4,29%"
"03.06.2020","13,04","12,99","13,30","12,96","432,84K","0,38%"
"02.06.2020","12,99","13,10","13,25","12,94","309,51K","-1,22%"
"01.06.2020","13,15","13,30","13,84","13,07","1,09M","-0,23%"
"29.05.2020","13,18","13,60","13,76","13,18","255,69K","-3,87%"
"28.05.2020","13,71","13,96","14,24","13,29","654,97K","-1,37%"
"27.05.2020","13,90","14,04","14,50","13,88","613,57K","-0,86%"
"22.05.2020","14,02","14,60","15,74","13,86","2,36M","-4,88%"
"21.05.2020","14,74","13,44","14,80","13,26","2,66M","9,51%"
"20.05.2020","13,46","12,33","13,51","12,19","3,64M","9,52%"
"18.05.2020","12,29","12,25","12,50","12,16","746,96K","1,82%"
"15.05.2020","12,07","12,10","12,43","11,48","2,60M","1,60%"
"14.05.2020","11,88","10,84","11,88","10,79","2,35M","10,00%"
"13.05.2020","10,80","10,65","11,00","10,60","726,08K","1,60%"
"12.05.2020","10,63","10,47","10,67","10,47","388,47K","1,33%"
"11.05.2020","10,49","10,58","10,62","10,42","314,16K","-0,29%"
"08.05.2020","10,52","10,71","10,75","10,47","415,55K","-0,75%"
"07.05.2020","10,60","10,41","11,00","10,30","1,16M","1,53%"
"06.05.2020","10,44","10,62","10,68","10,42","602,84K","-1,32%"
"05.05.2020","10,58","10,50","10,93","10,40","1,11M","1,93%"
"04.05.2020","10,38","10,50","10,56","10,37","496,22K","-2,08%"
"30.04.2020","10,60","10,60","11,09","10,25","1,92M","1,05%"
"29.04.2020","10,49","10,53","10,55","10,43","466,01K","0,29%"
"28.04.2020","10,46","10,59","10,83","10,40","739,95K","-0,57%"
"27.04.2020","10,52","10,48","10,70","10,35","451,42K","2,53%"
"24.04.2020","10,26","10,11","10,55","10,11","704,74K","1,08%"
"22.04.2020","10,15","10,05","10,22","10,01","345,67K","1,10%"
"21.04.2020","10,04","9,97","10,19","9,83","372,70K","0,50%"
"20.04.2020","9,99","9,88","9,99","9,82","302,73K","1,22%"
"17.04.2020","9,87","9,72","9,98","9,70","359,63K","2,81%"
"16.04.2020","9,60","9,81","9,87","9,54","312,88K","-1,74%"
"15.04.2020","9,77","10,39","10,39","9,57","511,02K","-6,06%"
"14.04.2020","10,40","10,05","10,45","10,05","453,17K","3,90%"
"13.04.2020","10,01","9,33","10,27","9,20","713,29K","6,72%"
"10.04.2020","9,38","9,24","9,44","9,19","384,42K","2,18%"
"09.04.2020","9,18","9,06","9,37","9,06","942,65K","2,57%"
"08.04.2020","8,95","8,93","9,01","8,76","449,37K","1,13%"
"07.04.2020","8,85","8,99","9,21","8,83","788,48K","-0,11%"
"06.04.2020","8,86","8,71","8,99","8,65","783,59K","3,38%"
"03.04.2020","8,57","8,61","8,83","8,52","642,64K","1,54%"
"02.04.2020","8,44","8,31","8,83","8,23","784,29K","1,81%"
"01.04.2020","8,29","8,36","8,48","8,24","657,72K","-2,24%"
"31.03.2020","8,48","8,29","8,55","8,21","935,40K","4,43%"
"30.03.2020","8,12","8,05","8,24","8,01","567,22K","0,00%"
"27.03.2020","8,12","8,15","8,90","8,01","895,88K","-0,12%"
"26.03.2020","8,13","7,80","8,22","7,63","1,24M","3,57%"
"25.03.2020","7,85","7,95","8,23","7,56","501,62K","-0,51%"
